request_id,workload_type,arrival_time,dispatch_time,queue_time,ttft,tpot,inter_token_latencies,total_latency,completion_time,input_tokens,output_tokens,success,error,status_code,prompt_text,output_text,server_queue_time,server_prefill_time
req-0000-e5ca25,synthetic,1787905461.0016155,1787905461.9026635,0.901047945022583,5.256635700003244,0.0628048225809189,"[0.03376000002026558, 0.03637059999164194, 0.036267400020733476, 0.03661599999759346, 0.04073849995620549, 0.03258910001022741, 0.035374100029002875, 0.03917830000864342, 0.041254699986893684, 0.04322429996682331, 0.04375330003676936, 0.03802430001087487, 0.034010699950158596, 0.03970440005650744, 0.0335075999610126, 0.0306235000025481, 0.026159600005485117, 0.035424600006081164, 0.042065099987667054, 0.03122210002038628, 0.04010069998912513, 0.03856179997092113, 0.03918800002429634, 0.046906700008548796, 0.04271950002294034, 0.031324599985964596, 0.03655839996645227, 0.04146750003565103, 0.03634479996981099, 0.8615785000147298, 0.0023307999945245683]",7.206707954406738,1787905469.1093714,128,32,True,,200,sed sit adipiscing consectetur et dolore dolor incididunt Lorem ipsum ut eiusmod aliqua. do labore tempor amet magna elit eiusmod et ipsum sit incididunt sed dolore dolor Lorem amet labore consectetur adipiscing do ut aliqua. tempor elit magna ut incididunt sit et sed elit tempor ipsum dolor labore adipiscing do dolore consectetur magna aliqua. Lorem eiusmod amet incididunt sed ipsum do ut adipiscing sit et dolore magna elit Lorem tempor aliqua. amet eiusmod labore consectetur dolor ipsum amet dolore incididunt labore adipiscing eiusmod et tempor sed Lorem ut magna aliqua. dolor sit do consectetur elit ut tempor incididunt et dolore consectetur adipiscing elit Lorem sit do amet dolor magna eiusmod sed ipsum labore aliqua. elit do magna sed amet consectetur eiusmod dolor, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0001-07f28a,synthetic,1787905461.0016155,1787905462.5890796,1.5874640941619873,4.563302599999588,0.03510148064496236,"[0.029297000030055642, 0.03579599998192862, 0.03472689999034628, 0.035499799996614456, 0.028686000034213066, 0.036882399988826364, 0.03444299998227507, 0.035252600035164505, 0.0316154999891296, 0.026644499972462654, 0.035690899996552616, 0.03756000002613291, 0.03862509998725727, 0.036270399985369295, 0.04787480004597455, 0.025275799969676882, 0.030615099996794015, 0.03405220003332943, 0.030200499983038753, 0.03291949996491894, 0.033808300038799644, 0.037922599993180484, 0.04234919999726117, 0.03474769997410476, 0.04272980004316196, 0.03257709997706115, 0.03957680001622066, 0.036557899962645024, 0.03602860000682995, 0.03533179999794811, 0.03858809999655932]",5.654171466827393,1787905468.243251,128,32,True,,200,dolore consectetur labore ut tempor eiusmod magna amet sed adipiscing Lorem et ipsum dolor aliqua. incididunt sit do elit adipiscing consectetur amet incididunt sit eiusmod do aliqua. labore elit et tempor ipsum Lorem dolor dolore magna sed ut et do dolor tempor amet dolore Lorem elit adipiscing ut labore consectetur sit sed incididunt eiusmod aliqua. magna ipsum labore eiusmod ipsum dolor aliqua. Lorem adipiscing sit elit consectetur do et magna amet tempor dolore incididunt sed ut et dolore sit eiusmod do labore sed dolor elit magna consectetur incididunt Lorem ut aliqua. tempor adipiscing amet ipsum aliqua. ipsum tempor amet elit sed sit Lorem incididunt do dolore adipiscing ut et dolor magna labore consectetur eiusmod incididunt adipiscing ut ipsum amet Lorem, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0002-2baa13,synthetic,1787905461.0016155,1787905463.276158,2.2745425701141357,3.8794431000133045,0.06283597742027093,"[0.03897679998772219, 0.02967499999795109, 0.02923510002437979, 0.03867259999969974, 0.03717670001788065, 0.0340853999950923, 0.03107500000623986, 0.03194059996167198, 0.027058900042902678, 0.035634799976833165, 0.032501199981197715, 0.040489900042302907, 0.038101499958429486, 0.030957400042098016, 0.043884299986530095, 0.038147599960211664, 0.037494300049729645, 0.03877339995233342, 0.029130400042049587, 0.03899099997943267, 0.03485970001202077, 0.03613179997773841, 0.04085130000021309, 0.03624169999966398, 0.03482370002893731, 0.03670090000377968, 0.036668999993707985, 0.03771259996574372, 0.03780130000086501, 0.03624500002479181, 0.8778764000162482]",5.832469701766968,1787905469.1086278,128,32,True,,200,amet do adipiscing consectetur labore magna aliqua. ipsum dolor et eiusmod sit incididunt elit ut Lorem dolore tempor sed magna dolor consectetur elit dolore sit et tempor eiusmod do incididunt ut adipiscing labore Lorem aliqua. amet ipsum sed dolor dolore ipsum labore tempor magna amet et ut consectetur Lorem adipiscing aliqua. eiusmod elit incididunt do sed sit et sit adipiscing do labore amet sed tempor dolore magna aliqua. dolor elit incididunt eiusmod consectetur Lorem ipsum ut Lorem adipiscing tempor magna aliqua. labore do elit incididunt ut eiusmod sed ipsum dolor et dolore sit amet consectetur sed ut eiusmod amet Lorem tempor consectetur ipsum adipiscing sit aliqua. dolor dolore incididunt labore et elit magna do amet dolore ipsum eiusmod consectetur sed do, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0003-e96f36,synthetic,1787905461.0016155,1787905463.9561753,2.954559803009033,3.2023838000022806,0.06273629032300725,"[0.03555540001252666, 0.03663719998439774, 0.03688150004018098, 0.03623819997301325, 0.03938239999115467, 0.03555580001557246, 0.038322500011418015, 0.026364299992565066, 0.03492569999070838, 0.04086389997974038, 0.03664210002170876, 0.03614209999796003, 0.03425520000746474, 0.03389039996545762, 0.02839340001810342, 0.03667669999413192, 0.02998170000500977, 0.038303199980873615, 0.03970280004432425, 0.03534319996833801, 0.03609790001064539, 0.03858549997676164, 0.038744800025597215, 0.032592999981716275, 0.03715620003640652, 0.035197499964851886, 0.031164699990767986, 0.03464790002908558, 0.03680649999296293, 0.03752910002367571, 0.8762441999861039]",5.152210474014282,1787905469.1083858,128,32,True,,200,amet ipsum tempor sit incididunt ut adipiscing dolore consectetur elit do eiusmod magna labore Lorem sed et dolor aliqua. ut do labore et dolore amet tempor sed ipsum Lorem incididunt magna eiusmod consectetur elit adipiscing sit aliqua. dolor consectetur aliqua. dolore ipsum do labore magna elit eiusmod sed amet incididunt adipiscing sit ut dolor Lorem tempor et sit consectetur Lorem labore adipiscing eiusmod ut elit dolor tempor incididunt do amet sed aliqua. magna dolore ipsum et elit do sed dolore labore consectetur Lorem aliqua. et ipsum adipiscing amet tempor magna dolor incididunt sit eiusmod ut elit sit et sed consectetur eiusmod labore magna Lorem amet incididunt adipiscing ipsum do ut aliqua. dolor dolore tempor amet eiusmod sed aliqua. dolore consectetur, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0004-b5a4ce,synthetic,1787905461.0016155,1787905464.7,3.6983845233917236,2.457509800035041,0.06277859032214168,"[0.035846699960529804, 0.035212700022384524, 0.0299088999745436, 0.03349210001761094, 0.03772039996692911, 0.032477500033564866, 0.037586099992040545, 0.03921810002066195, 0.03642399999080226, 0.04329639999195933, 0.0337314999778755, 0.03909690002910793, 0.03869830002076924, 0.03370909998193383, 0.035870499967131764, 0.04156540002441034, 0.03549879998899996, 0.03878090000944212, 0.03126650000922382, 0.03429430001415312, 0.03493879997404292, 0.03980750002665445, 0.036131299973931164, 0.030847700021695346, 0.034508899960201234, 0.034795999992638826, 0.03899620001902804, 0.035175400029402226, 0.035121499968227, 0.029644700000062585, 0.8724732000264339]",4.408862829208374,1787905469.1088629,128,32,True,,200,tempor dolor aliqua. magna elit adipiscing dolore sit Lorem do consectetur labore sed ut et ipsum incididunt amet eiusmod elit eiusmod labore adipiscing sit sed Lorem dolore tempor et consectetur magna ipsum do incididunt dolor ut amet aliqua. ipsum incididunt magna dolore Lorem aliqua. elit sed ut dolor eiusmod labore consectetur do tempor et adipiscing amet sit elit labore incididunt consectetur ut sit ipsum adipiscing magna dolore Lorem aliqua. tempor dolor sed eiusmod do amet et magna do Lorem aliqua. eiusmod ut et labore elit ipsum adipiscing sed sit tempor amet dolor consectetur incididunt dolore elit sit ipsum et aliqua. ut dolore tempor incididunt magna do adipiscing sed labore eiusmod consectetur Lorem amet dolor dolor do amet sit eiusmod magna tempor, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0005-e3ada3,synthetic,1787905461.0016155,1787905465.4873323,4.485716819763184,1.669461500016041,0.0628057483869094,"[0.0326084999833256, 0.03665960003854707, 0.029564599972218275, 0.03613170003518462, 0.03984629997285083, 0.03497510001761839, 0.03654850000748411, 0.03523290000157431, 0.03546029998688027, 0.030385399993974715, 0.03561169997556135, 0.0390567000140436, 0.03394350002054125, 0.033554699970409274, 0.028971899999305606, 0.03759010002249852, 0.03947050002170727, 0.04194809996988624, 0.03831720002926886, 0.03415849996963516, 0.03732870001113042, 0.037021500000264496, 0.036411100008990616, 0.04358900000806898, 0.03471859998535365, 0.03876069997204468, 0.036129800020717084, 0.03179959999397397, 0.035956399980932474, 0.032411100051831454, 0.8728158999583684]",3.6218018531799316,1787905469.1091342,128,32,True,,200,et eiusmod ut adipiscing dolore consectetur aliqua. do sed labore dolor ipsum Lorem magna sit amet incididunt tempor elit sit labore dolor ut ipsum consectetur tempor magna incididunt sed dolore et adipiscing do eiusmod elit aliqua. amet Lorem dolore sed amet eiusmod tempor sit ipsum dolor do incididunt magna elit et aliqua. consectetur labore ut Lorem adipiscing et dolore adipiscing ut eiusmod magna dolor aliqua. sed labore elit amet ipsum sit do incididunt Lorem consectetur tempor eiusmod dolor aliqua. dolore elit incididunt et consectetur magna ut do tempor sed sit ipsum adipiscing labore Lorem amet consectetur adipiscing dolore elit Lorem eiusmod incididunt ipsum dolor labore do aliqua. et tempor amet ut sed magna sit aliqua. dolor adipiscing ut Lorem sit magna, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0006-c50620,synthetic,1787905461.0016155,1787905466.2503562,5.2487406730651855,0.9105489000212401,0.0626499580647496,"[0.0380326000158675, 0.030098200018983334, 0.033498099946882576, 0.030878500023391098, 0.033430400013457984, 0.03625299996929243, 0.03454070002771914, 0.04200650000711903, 0.039658699999563396, 0.028576200013048947, 0.03313309996156022, 0.03887430002214387, 0.03582109999842942, 0.036451199965085834, 0.03865850000875071, 0.03125589998671785, 0.03200160001870245, 0.03836489998502657, 0.04187010001624003, 0.03617909998865798, 0.03202159999636933, 0.037971300014760345, 0.03907549998257309, 0.03762730001471937, 0.03398820001166314, 0.03221919998759404, 0.03426099999342114, 0.03062930004671216, 0.029549799975939095, 0.03579380002338439, 0.889428999973461]",2.8574395179748535,1787905469.1077957,128,32,True,,200,sit do adipiscing magna incididunt et aliqua. ipsum elit dolore consectetur Lorem eiusmod ut dolor amet sed tempor labore dolore sed incididunt consectetur eiusmod amet ipsum aliqua. Lorem elit tempor do sit magna adipiscing labore ut dolor et dolor et sit aliqua. sed ut tempor elit adipiscing do consectetur dolore amet eiusmod labore ipsum Lorem incididunt magna do dolore adipiscing amet ipsum elit sed consectetur sit et incididunt ut Lorem eiusmod labore tempor magna dolor aliqua. tempor amet elit aliqua. ipsum sit consectetur do labore dolor et ut dolore magna incididunt sed Lorem adipiscing eiusmod magna ipsum do et ut sed consectetur adipiscing sit tempor labore dolor elit Lorem incididunt dolore aliqua. amet eiusmod labore ut Lorem dolor incididunt do adipiscing sit, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0007-5d88e1,synthetic,1787905461.0016155,1787905467.0283968,6.026781320571899,0.12995469995075837,0.06280208709687295,"[0.03326200001174584, 0.03768720000516623, 0.03661020001163706, 0.039762499975040555, 0.035768100002314895, 0.033237600000575185, 0.03804760001366958, 0.04048090003198013, 0.03859869996085763, 0.04399530001683161, 0.038950700021814555, 0.03710079996380955, 0.03628579998621717, 0.039004100020974874, 0.04021250002551824, 0.027698799967765808, 0.037912100029643625, 0.02647639997303486, 0.03788880002684891, 0.03410009999061003, 0.03668769996147603, 0.040105000021867454, 0.03929829999106005, 0.03597780002746731, 0.03312979999464005, 0.03747540002223104, 0.040672299975994974, 0.03610219998518005, 0.03761749999830499, 0.8747419000137597, 0.0019765999750234187]",2.0797321796417236,1787905469.108129,128,32,True,,200,adipiscing magna consectetur eiusmod sed incididunt labore dolore dolor amet tempor elit sit Lorem do et ut ipsum aliqua. ipsum amet adipiscing eiusmod aliqua. dolor incididunt et consectetur dolore sit tempor ut do labore elit sed Lorem magna Lorem magna tempor labore sed incididunt dolore elit sit do dolor consectetur aliqua. eiusmod adipiscing et ipsum amet ut dolore adipiscing incididunt tempor aliqua. labore amet consectetur sit et dolor do sed ipsum Lorem magna ut eiusmod elit incididunt sit dolore dolor ut et adipiscing aliqua. ipsum consectetur do amet magna eiusmod sed labore Lorem elit tempor ipsum elit sit eiusmod tempor do ut incididunt dolor adipiscing amet labore aliqua. dolore magna Lorem et consectetur sed elit dolore ipsum do Lorem et, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0008-b6c51a,synthetic,1787905461.0016155,1787905469.1004305,8.098814964294434,5.3882506000227295,0.06485471290333437,"[0.058176200021989644, 0.04070059995865449, 0.03839160001371056, 0.042105100001208484, 0.043059099989477545, 0.033897000015713274, 0.03765209997072816, 0.034658499993383884, 0.03877180005656555, 0.03572769998572767, 0.032706999976653606, 0.03940509998938069, 0.04074310004943982, 0.033179699967149645, 0.045819299994036555, 0.038952200033236295, 0.037346199969761074, 0.03905770002165809, 0.03163179999683052, 0.036126899998635054, 0.03529530001105741, 0.03762279998045415, 0.03589140000985935, 0.04389550001360476, 0.03870969999115914, 0.03612489998340607, 0.9791996999992989, 0.025515899993479252, 4.579999949783087e-05, 4.3899985030293465e-05, 4.250003257766366e-05]",8.191878080368042,1787905477.2923086,128,32,True,,200,consectetur amet adipiscing ipsum incididunt tempor Lorem eiusmod elit et dolor sit do ut sed dolore aliqua. magna labore labore eiusmod incididunt aliqua. adipiscing magna Lorem dolor et ipsum sit dolore amet elit ut consectetur tempor sed do ut aliqua. do dolore et incididunt magna amet Lorem adipiscing elit sed eiusmod sit labore consectetur ipsum dolor tempor incididunt sed dolor consectetur amet Lorem elit ipsum adipiscing tempor labore magna et sit aliqua. eiusmod dolore do ut ipsum tempor consectetur et labore magna eiusmod do ut dolore incididunt aliqua. amet sed Lorem adipiscing elit dolor sit labore dolor do amet ipsum sit sed dolore tempor incididunt elit consectetur aliqua. et ut Lorem eiusmod magna adipiscing ipsum magna Lorem eiusmod consectetur tempor, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0009-d21a1a,synthetic,1787905461.0016155,1787905469.8263946,8.824779033660889,4.71676809998462,0.0628870096763656,"[0.03665209998143837, 0.034381400037091225, 0.026029200002085418, 0.03924909996567294, 0.04280649998690933, 0.05004100000951439, 0.03625020000617951, 0.03862120001576841, 0.03987300000153482, 0.035593400010839105, 0.044140499958302826, 0.041792600008193403, 0.032432999985758215, 0.04101070004981011, 0.042844199982937425, 0.04037930001504719, 0.04285289999097586, 0.03903709998121485, 0.03857550001703203, 0.03918680001515895, 0.03727999998955056, 0.03310339996824041, 0.04153099999530241, 0.03309149999404326, 1.0016410000389442, 0.0208254000172019, 6.659998325631022e-05, 5.609996151179075e-05, 5.339999916031957e-05, 5.050003528594971e-05, 4.869996337220073e-05]",7.464136362075806,1787905477.290531,128,32,True,,200,aliqua. labore magna ipsum ut incididunt do sit eiusmod amet elit consectetur Lorem adipiscing dolor tempor dolore sed et magna Lorem dolor sit ut sed aliqua. consectetur dolore et eiusmod tempor ipsum adipiscing amet labore do elit incididunt do Lorem consectetur aliqua. elit ipsum labore eiusmod tempor magna dolor incididunt et sed dolore ut adipiscing sit amet tempor dolore eiusmod magna Lorem amet adipiscing incididunt labore sed ipsum elit dolor sit aliqua. consectetur do et ut Lorem et eiusmod incididunt dolore ipsum sed dolor magna elit labore consectetur aliqua. sit adipiscing tempor amet ut do labore incididunt consectetur sit adipiscing tempor ut aliqua. amet Lorem elit do dolor dolore sed et magna eiusmod ipsum Lorem dolor dolore eiusmod incididunt do, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
