request_id,workload_type,arrival_time,dispatch_time,queue_time,ttft,tpot,inter_token_latencies,total_latency,completion_time,input_tokens,output_tokens,success,error,status_code,prompt_text,output_text,server_queue_time,server_prefill_time
req-0000-0a5dc5,synthetic,1787905181.4284327,1787905182.3153818,0.8869490623474121,0.8018565000384115,0.010701248386589389,"[0.007093599997460842, 0.008300399989821017, 0.007924499979708344, 0.008163999998942018, 0.008702300023287535, 0.009020700003020465, 0.008908999967388809, 0.009456900006625801, 0.009346200036816299, 0.009906299994327128, 0.00945109996246174, 0.012887799995951355, 0.013166500022634864, 0.01096250000409782, 0.01038300001528114, 0.011196099978405982, 0.009971800027415156, 0.009918999974615872, 0.010342099994886667, 0.011597600008826703, 0.012581299990415573, 0.010679800005163997, 0.010292200022377074, 0.012411799980327487, 0.011951000022236258, 0.010700599988922477, 0.013089499960187823, 0.01594350003870204, 0.012145599990617484, 0.01384839997626841, 0.0113936000270769]",1.1347243785858154,1787905183.4501061,128,32,True,,200,adipiscing magna Lorem dolore aliqua. do ipsum dolor labore ut et incididunt amet consectetur elit tempor eiusmod sed sit sit labore et aliqua. dolore tempor consectetur do incididunt ipsum magna Lorem adipiscing ut eiusmod sed amet dolor elit do elit consectetur sed sit tempor et magna incididunt Lorem ut adipiscing labore amet ipsum dolore aliqua. eiusmod dolor sit dolor elit labore ut ipsum Lorem sed adipiscing tempor magna amet incididunt do consectetur dolore eiusmod aliqua. et ipsum Lorem consectetur et tempor sit elit eiusmod dolor do ut labore incididunt aliqua. magna adipiscing amet sed dolore do sed consectetur magna sit amet elit dolor et Lorem aliqua. adipiscing incididunt labore ut tempor ipsum eiusmod dolore do adipiscing dolore consectetur dolor aliqua, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0001-3b1623,synthetic,1787905181.4284327,1787905183.0757039,1.6472711563110352,0.04326740000396967,0.03810839999970349,"[0.0067832000204361975, 0.0070862999418750405, 0.0075119000393897295, 0.009167900017928332, 0.006916499987710267, 0.01060979999601841, 0.008661100000608712, 0.008769300009589642, 0.009269799978937954, 0.011964500008616596, 0.009264899999834597, 0.008711099973879755, 0.01137000002199784, 0.011035499977879226, 0.009299800032749772, 0.012452599999960512, 0.012284600001294166, 0.009843999985605478, 0.009418300003744662, 0.013566199981141835, 0.013345399987883866, 0.011956400005146861, 0.010059499996714294, 0.011379200033843517, 0.01235799997812137, 0.012671100033912808, 0.011167899996507913, 0.014440400002058595, 0.012617999978829175, 0.0161466000135988, 0.8612305999849923]",1.2272193431854248,1787905184.3029232,128,32,True,,200,et elit incididunt ut sed consectetur Lorem dolor eiusmod do ipsum sit tempor amet dolore labore aliqua. adipiscing magna consectetur do tempor magna labore ut ipsum et sed adipiscing dolor elit aliqua. sit incididunt amet dolore eiusmod Lorem tempor consectetur dolor et sit adipiscing labore do ipsum elit magna dolore aliqua. Lorem ut incididunt sed eiusmod amet consectetur dolor sed tempor elit incididunt sit ut ipsum amet Lorem adipiscing aliqua. do labore et dolore eiusmod magna eiusmod dolore ut Lorem sit ipsum magna do sed amet tempor incididunt labore et elit adipiscing consectetur aliqua. dolor ipsum eiusmod ut labore tempor consectetur do Lorem dolor incididunt sit magna aliqua. sed elit et dolore adipiscing amet eiusmod consectetur amet et labore dolore elit magna, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0002-a9c076,synthetic,1787905181.4284327,1787905184.2977471,2.869314432144165,0.7823003000230528,0.011648593547438541,"[0.004368399968370795, 0.004691900045145303, 0.00460479996399954, 0.00797560001956299, 0.008175999973900616, 0.007013200025539845, 0.009423399984370917, 0.008431599999312311, 0.009657900023739785, 0.01034739997703582, 0.01117429998703301, 0.010946599999442697, 0.012047600001096725, 0.008776100003160536, 0.010366200003772974, 0.014154500036966056, 0.012217399955261499, 0.019788900041021407, 0.0192043999559246, 0.014668300049379468, 0.016555999987758696, 0.014219900011084974, 0.011283100000582635, 0.012627299991436303, 0.016102299967315048, 0.015337000018917024, 0.012857699999585748, 0.013165200012736022, 0.012755799980368465, 0.014594700012821704, 0.01357289997395128]",1.1449038982391357,1787905185.442651,128,32,True,,200,tempor sed adipiscing Lorem magna dolor sit incididunt dolore et consectetur aliqua. eiusmod amet labore elit do ipsum ut dolor tempor magna incididunt sed labore Lorem aliqua. dolore sit et elit ipsum adipiscing amet do eiusmod consectetur ut magna adipiscing ut tempor consectetur sit do Lorem amet dolore labore ipsum aliqua. elit incididunt dolor sed et eiusmod dolore ut do et adipiscing labore magna eiusmod Lorem ipsum amet consectetur tempor dolor aliqua. elit sit incididunt sed ut adipiscing ipsum elit Lorem amet do magna tempor sit aliqua. incididunt dolor et labore consectetur eiusmod sed dolore amet sit consectetur ipsum adipiscing magna eiusmod labore aliqua. sed incididunt tempor et ut dolore elit dolor Lorem do aliqua. dolor Lorem labore sed et, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0003-7c5493,synthetic,1787905181.4284327,1787905185.0570037,3.628571033477783,0.037922299990896136,0.04050898387269568,"[0.007498400053009391, 0.006528400001116097, 0.008419599966146052, 0.007992300030309707, 0.010060300002805889, 0.009169799974188209, 0.011049000022467226, 0.008986599976196885, 0.011465099989436567, 0.012090100033674389, 0.012161499995272607, 0.00934150000102818, 0.011577799974475056, 0.013562000007368624, 0.019000699976459146, 0.020692699996288866, 0.013934300048276782, 0.016403099987655878, 0.012409599963575602, 0.013157700013834983, 0.011575600015930831, 0.01810529996873811, 0.013896600052248687, 0.013277399993967265, 0.012738999968860298, 0.013174700026866049, 0.015185099968221039, 0.01331670000217855, 0.9074629000388086, 0.0014865999692119658, 5.8100034948438406e-05]",1.294950008392334,1787905186.3519537,128,32,True,,200,et ipsum amet aliqua. magna elit sed ut adipiscing eiusmod do dolor Lorem tempor labore incididunt consectetur sit dolore dolore consectetur et dolor sit tempor incididunt ut eiusmod adipiscing Lorem magna labore do sed aliqua. ipsum elit amet amet aliqua. do dolore incididunt et dolor Lorem eiusmod sit ipsum magna labore tempor adipiscing consectetur sed ut elit sit magna elit tempor eiusmod dolor ut aliqua. ipsum incididunt et sed do amet dolore consectetur labore adipiscing Lorem et incididunt amet aliqua. ut dolor ipsum Lorem do elit adipiscing tempor labore eiusmod sit consectetur dolore sed magna amet labore dolore adipiscing tempor incididunt eiusmod aliqua. ut elit Lorem sit do dolor magna ipsum et consectetur sed consectetur do aliqua. sit labore magna ipsum, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0004-b34c4e,synthetic,1787905181.4284327,1787905186.3466473,4.918214559555054,0.8003443999914452,0.01081433225866227,"[0.007454400009009987, 0.00813860003836453, 0.008028399955946952, 0.007985400035977364, 0.007983899966347963, 0.009580500016454607, 0.010005799995269626, 0.009382500022184104, 0.009567399974912405, 0.00972530001308769, 0.007844000007025898, 0.008907000010367483, 0.013430499995592982, 0.011202599969692528, 0.013908300024922937, 0.012066399969626218, 0.011837700032629073, 0.011631099972873926, 0.012440200021956116, 0.013185299991164356, 0.01286780001828447, 0.01067799999145791, 0.010002899973187596, 0.037429200019687414, 0.0003011000226251781, 0.0006551999831572175, 0.012846499972511083, 0.010265399992931634, 0.012557800044305623, 0.012582099996507168, 0.010752999980468303]",1.1371417045593262,1787905187.483789,128,32,True,,200,sit Lorem labore et elit amet dolore ut consectetur incididunt magna eiusmod aliqua. do dolor adipiscing sed ipsum tempor magna elit adipiscing aliqua. do Lorem dolor et ut sed eiusmod labore amet dolore consectetur tempor sit ipsum incididunt et consectetur magna adipiscing sed aliqua. eiusmod ipsum sit elit ut tempor amet labore Lorem dolore dolor do incididunt ipsum tempor incididunt elit consectetur aliqua. amet Lorem labore magna adipiscing sit eiusmod sed ut do dolor et dolore adipiscing dolore ipsum magna labore ut incididunt eiusmod aliqua. sed dolor sit tempor do elit amet Lorem consectetur et eiusmod adipiscing labore amet ipsum dolore elit et sed do magna tempor ut Lorem aliqua. consectetur dolor incididunt sit sed dolore consectetur et do elit amet labore, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0005-cb4a49,synthetic,1787905181.4284327,1787905187.1201844,5.691751718521118,0.033929700031876564,0.03795776451607385,"[0.008810599974822253, 0.007896099996287376, 0.00902589998440817, 0.007464500027708709, 0.009052200010046363, 0.0100273999851197, 0.009364800003822893, 0.009911599976476282, 0.010860700043849647, 0.007773099991027266, 0.012305099982768297, 0.014612200029660016, 0.013458399975206703, 0.010481600009370595, 0.010844299977179617, 0.01168830000096932, 0.01195950002875179, 0.01170159998582676, 0.014379900007043034, 0.011107400001492351, 0.010666599962860346, 0.04446580004878342, 0.0004618999664671719, 0.0002671999973244965, 0.0007006000378169119, 0.011236799997277558, 0.011916699993889779, 0.01180529996054247, 0.012444499996490777, 0.011167600052431226, 0.848832499992568]",1.222987174987793,1787905188.3431716,128,32,True,,200,sed adipiscing incididunt labore Lorem tempor ut sit dolor elit eiusmod dolore ipsum aliqua. consectetur amet magna et do elit labore dolor eiusmod sit amet ut sed incididunt adipiscing dolore Lorem et tempor do ipsum aliqua. magna consectetur magna sed ut labore dolor elit aliqua. incididunt do et sit eiusmod Lorem adipiscing tempor ipsum amet dolore consectetur aliqua. ipsum Lorem eiusmod consectetur ut tempor dolor elit sit incididunt sed amet magna et adipiscing dolore do labore ipsum aliqua. eiusmod consectetur tempor ut labore incididunt magna amet dolor sed et do elit adipiscing sit dolore Lorem magna sit ut incididunt Lorem ipsum consectetur do aliqua. elit amet et tempor dolore sed labore eiusmod adipiscing dolor amet sed dolore Lorem labore aliqua. consectetur, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0006-c0a7fc,synthetic,1787905181.4284327,1787905188.3277483,6.899315595626831,0.8934797999681905,0.040532616128574214,"[0.008985800028312951, 0.008585000003222376, 0.007472099969163537, 0.007310900022275746, 0.008270799997262657, 0.009093699976801872, 0.008726000029128045, 0.009310099994763732, 0.009468599979300052, 0.01282469998113811, 0.012571800034493208, 0.018547400017268956, 0.01453899999614805, 0.013321399979759008, 0.01350489998003468, 0.013403500022832304, 0.013791100005619228, 0.013730400009080768, 0.01380249997600913, 0.013765199983026832, 0.013050300010945648, 0.012283099989872426, 0.012460700003430247, 0.011912700021639466, 0.010373700002674013, 0.00988979998510331, 0.010324999981094152, 0.010080500040203333, 0.01216539996676147, 0.014704100030940026, 0.9082408999674954]",2.153092384338379,1787905190.4808407,128,32,True,,200,ut amet dolore do ipsum elit adipiscing consectetur incididunt sit sed labore magna eiusmod dolor tempor Lorem et aliqua. dolor Lorem labore et do amet ipsum adipiscing magna eiusmod sed incididunt elit tempor sit ut consectetur dolore aliqua. ipsum consectetur dolor amet eiusmod adipiscing et Lorem sed elit dolore do tempor ut incididunt sit magna aliqua. labore adipiscing magna Lorem aliqua. labore amet elit dolore incididunt sit sed et ut consectetur do dolor ipsum eiusmod tempor aliqua. dolore eiusmod consectetur tempor adipiscing ut et Lorem elit ipsum do dolor magna incididunt amet labore sit sed elit eiusmod labore amet dolor ipsum do aliqua. incididunt sit ut tempor Lorem consectetur et dolore magna adipiscing sed sit eiusmod dolor et magna amet elit sed, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0007-98ec57,synthetic,1787905181.4284327,1787905189.185543,7.757110357284546,0.03393360000336543,0.011725358064136198,"[0.007822100014891475, 0.008027000003494322, 0.007425300020258874, 0.0069543999852612615, 0.009154599974863231, 0.009231400035787374, 0.009775799990165979, 0.009602900012396276, 0.009544799977447838, 0.012605700001586229, 0.01312850002432242, 0.019412399968132377, 0.01709330000448972, 0.011882200022228062, 0.013005899963900447, 0.013306599983479828, 0.013271200004965067, 0.01287520001642406, 0.014663300011307001, 0.01448710000840947, 0.011941000004298985, 0.0141418999992311, 0.013352899986784905, 0.011626799998339266, 0.010415999975521117, 0.009818000020459294, 0.010318899992853403, 0.00973859999794513, 0.011557499994523823, 0.014797200041357428, 0.01250759995309636]",0.39871644973754883,1787905189.5842595,128,32,True,,200,Lorem elit magna labore consectetur dolor eiusmod sit tempor do incididunt ut dolore sed adipiscing amet aliqua. ipsum et elit dolore sed et incididunt consectetur Lorem adipiscing magna aliqua. dolor labore do amet ipsum sit tempor eiusmod ut Lorem do dolor incididunt labore sed ut elit magna sit eiusmod aliqua. consectetur dolore et tempor adipiscing amet ipsum amet adipiscing sit tempor et eiusmod ipsum Lorem magna dolor sed do consectetur dolore elit ut labore aliqua. incididunt do et tempor incididunt sit labore dolor Lorem aliqua. elit magna sed amet dolore ipsum consectetur adipiscing ut eiusmod magna sit eiusmod amet consectetur dolore labore ipsum sed Lorem et ut adipiscing do incididunt dolor elit tempor aliqua. sed eiusmod ipsum adipiscing dolore amet incididunt et, stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs stairs,,
req-0008-28e966,synthetic,1787905181.4284327,1787905190.476657,9.048224210739136,0.808556400006637,0.03801736774133338,"[0.00781539996387437, 0.00842010002816096, 0.007305899984203279, 0.008719800040125847, 0.00860959995770827, 0.008442600024864078, 0.009308699984103441, 0.009535800025332719, 0.010582799965050071, 0.00989710004068911, 0.009544199972879142, 0.011977699992712587, 0.013273300020955503, 0.011510299984365702, 0.012449200032278895, 0.013430099992547184, 0.010734999959822744, 0.009889400040265173, 0.012140499951783568, 0.01232249999884516, 0.010833700012881309, 0.011181600042618811, 0.01324389997171238, 0.0130500000086613, 0.0113372000050731, 0.012319099972955883, 0.010702300001867115, 0.012746700027491897, 0.01604869996663183, 0.011403400043491274, 0.8497617999673821]",1.9921612739562988,1787905192.4688182,128,32,True,,200,sit ipsum elit adipiscing consectetur incididunt eiusmod magna tempor Lorem ut amet dolore aliqua. sed et dolor labore do ut sit Lorem labore sed amet tempor do dolor elit et aliqua. adipiscing magna dolore consectetur eiusmod incididunt ipsum magna sed dolor aliqua. tempor adipiscing elit et ipsum amet sit dolore consectetur labore eiusmod Lorem ut do incididunt eiusmod adipiscing incididunt do consectetur sed Lorem et sit amet tempor ipsum elit dolore dolor labore magna aliqua. ut sit elit dolore et amet ut tempor sed adipiscing do eiusmod magna Lorem ipsum aliqua. consectetur labore dolor incididunt sed magna dolore ipsum aliqua. Lorem adipiscing ut amet labore elit sit et tempor consectetur do dolor eiusmod incididunt Lorem amet tempor et eiusmod ut dolore consectetur, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
req-0009-8e162c,synthetic,1787905181.4284327,1787905191.254378,9.825945377349854,0.03144450002582744,0.010845303225646457,"[0.008223799988627434, 0.006428399996366352, 0.008724400016944855, 0.008479900017846376, 0.007479999971110374, 0.008596399973612279, 0.009072600048966706, 0.009756399958860129, 0.011164100025780499, 0.011220999993383884, 0.010104699991643429, 0.010504000005312264, 0.012071300006937236, 0.013085699989460409, 0.011647899984382093, 0.013297200028318912, 0.012075699982233346, 0.010281900002155453, 0.010975999990478158, 0.011728700017556548, 0.010182800004258752, 0.012003500014543533, 0.012079300009645522, 0.01351059996522963, 0.01174919999903068, 0.010660700034350157, 0.013077499985229224, 0.012268499995116144, 0.013440500013530254, 0.010923599998932332, 0.011388099985197186]",0.36900877952575684,1787905191.6233869,128,32,True,,200,ipsum elit eiusmod ut labore do tempor sit amet et magna sed incididunt dolore dolor consectetur aliqua. Lorem adipiscing elit labore magna dolore sit consectetur adipiscing sed ut tempor Lorem incididunt ipsum do et eiusmod dolor aliqua. amet et tempor elit aliqua. dolore eiusmod incididunt sit Lorem labore ipsum dolor do consectetur adipiscing amet sed magna ut aliqua. incididunt tempor adipiscing dolore do magna eiusmod amet ut Lorem consectetur elit labore dolor ipsum et sit sed ut magna eiusmod aliqua. dolor dolore adipiscing amet do elit labore consectetur sed Lorem tempor ipsum et sit incididunt dolore Lorem ut amet ipsum magna do aliqua. et adipiscing eiusmod incididunt tempor labore sed consectetur elit dolor sit adipiscing amet consectetur eiusmod sed dolor et, factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors factors,,
