run_id,concurrency,seed,trace_level,level_name,start_utc,pid,threads_before,threads_after,rss_before_mb,rss_after_mb,gpu_util,gpu_mem_used_mb,cpu_freq_mhz,invalid,invalid_reason
repair-real-gate-40-warm_01_c1_seed3101_off,1,3101,0,off,2026-08-28T14:41:29.366511+00:00,41764,231,231,682.4,694.4,0.0,2022.109375,16,False,
repair-real-gate-40-warm_02_c4_seed3401_off,4,3401,0,off,2026-08-28T14:42:14.883288+00:00,41764,231,231,694.4,869.8,0.0,2022.109375,16,False,
repair-real-gate-40-warm_03_c1_seed3101_l1,1,3101,1,l1,2026-08-28T14:42:56.684956+00:00,41764,231,232,869.8,687.1,0.0,2022.109375,16,False,
repair-real-gate-40-warm_04_c4_seed3401_l1,4,3401,1,l1,2026-08-28T14:43:43.773277+00:00,41764,232,231,687.1,687.6,0.0,2022.109375,16,False,
repair-real-gate-40-warm_05_c1_seed3102_l1,1,3102,1,l1,2026-08-28T14:44:25.759449+00:00,41764,231,231,687.6,684.7,1.0,2022.109375,16,False,
repair-real-gate-40-warm_06_c4_seed3402_l1,4,3402,1,l1,2026-08-28T14:45:13.019338+00:00,41764,231,231,684.7,870.9,0.0,2022.109375,16,False,
repair-real-gate-40-warm_07_c1_seed3102_off,1,3102,0,off,2026-08-28T14:45:55.636676+00:00,41764,231,231,870.9,687.8,0.0,2022.109375,16,False,
repair-real-gate-40-warm_08_c4_seed3402_off,4,3402,0,off,2026-08-28T14:46:42.402529+00:00,41764,231,231,687.8,871.2,0.0,2022.109375,16,False,
repair-mock-gate-20_01_c1_seed3101_off,1,3101,0,off,2026-08-28T14:23:25.721728+00:00,43584,47,47,63.5,63.8,3.0,2020.66015625,16,False,
repair-mock-gate-20_02_c4_seed3401_off,4,3401,0,off,2026-08-28T14:24:13.085345+00:00,43584,47,47,63.8,63.8,20.0,2019.53515625,16,False,
repair-mock-gate-20_03_c1_seed3101_l1,1,3101,1,l1,2026-08-28T14:24:39.200371+00:00,43584,47,47,63.8,63.8,12.0,2019.53515625,16,False,
repair-mock-gate-20_04_c4_seed3401_l1,4,3401,1,l1,2026-08-28T14:25:27.324509+00:00,43584,47,47,63.8,63.8,12.0,1999.671875,16,False,
repair-mock-gate-20_05_c1_seed3102_l1,1,3102,1,l1,2026-08-28T14:25:54.040323+00:00,43584,47,47,63.8,63.8,49.0,2146.859375,16,False,
repair-mock-gate-20_06_c4_seed3402_l1,4,3402,1,l1,2026-08-28T14:26:43.935072+00:00,43584,47,47,63.8,63.9,29.0,2061.234375,16,False,
repair-mock-gate-20_07_c1_seed3102_off,1,3102,0,off,2026-08-28T14:27:09.674744+00:00,43584,47,47,63.9,63.9,0.0,2111.359375,16,False,
repair-mock-gate-20_08_c4_seed3402_off,4,3402,0,off,2026-08-28T14:27:57.320751+00:00,43584,47,48,63.9,64.0,0.0,2034.421875,16,False,
