lam,cond,cv,policy,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share,p99
0.5,A,1,affine,1,5000.0,5000.0,0.13570287359414124,0.9455642600997408,1.2118224104189863,0.169601420605395,0.0,1.0,0.5022676939536107,0.748,
0.5,COL,1,colocated,1,,,0.1602564102568067,1.1748717948721605,,0.3129301389941173,,,,,1.5103884615381322
0.5,A,1,affine,2,5000.0,5000.0,0.13578469289274153,0.962301770732495,1.2305247981879623,0.5004395537559091,0.0,1.0,0.5064211428288475,0.9098,
0.5,COL,1,colocated,2,,,0.1602564102568067,1.1748910256413638,,0.3212423996095278,,,,,1.5103884615381322
0.5,A,1,affine,3,5000.0,5000.0,0.13591366392810755,0.9559651447255761,1.2126354457025448,0.49637452771937246,0.0,1.0,0.5047884840108934,0.9068,
0.5,COL,1,colocated,3,,,0.1603205128207037,1.1708012820511613,,0.23752375024959343,,,,,1.502950000000319
0.5,B,3,affine,1,5000.0,5000.0,0.21091751901712996,1.3142561480584278,1.9287203341679326,0.9320300140428877,0.8605928848501264,1.0,0.4737306734221145,0.5918,
0.5,COL,3,colocated,1,,,0.27275641025653385,1.8374283295665021,,0.9498223808875075,,,,,2.7976908967828535
0.5,B,3,affine,2,5000.0,5000.0,0.21063019656094184,1.306407722192581,1.8811089425905767,0.9321023612851388,0.8590454067104117,1.0,0.45023816527285687,0.601,
0.5,COL,3,colocated,2,,,0.2767654411932199,1.7507752853919567,,0.9490628724341925,,,,,2.64340454509848
0.5,B,3,affine,3,5000.0,5000.0,0.2176468450406901,1.2779990067427207,1.9141576163423106,0.927108891603503,0.8551070249539209,1.0,0.49250444787375586,0.5234,
0.5,COL,3,colocated,3,,,0.28629320848699535,1.7447702034052956,,0.9496204860091121,,,,,2.707344062848812
0.5,C,3,loadbal,1,5000.0,5000.0,0.23274948958373898,1.485549706153961,2.2173883444721243,0.9411699772438396,0.8975174008754743,0.9998,0.4737306734221145,0.6042,
0.5,COL,3,colocated,1,,,0.27275641025653385,1.8374283295665021,,0.9498223808875075,,,,,2.7976908967828535
0.5,C,3,loadbal,2,5000.0,5000.0,0.237742353562453,1.463072782598784,2.098324142179863,0.9442060424511395,0.8906126795970329,1.0,0.45023816527285687,0.6094,
0.5,COL,3,colocated,2,,,0.2767654411932199,1.7507752853919567,,0.9490628724341925,,,,,2.64340454509848
0.5,C,3,loadbal,3,5000.0,5000.0,0.25544261094592,1.4987036874012585,2.1181349416336284,0.9403966328235845,0.8881736499714482,1.0,0.49250444787375586,0.5086,
0.5,COL,3,colocated,3,,,0.28629320848699535,1.7447702034052956,,0.9496204860091121,,,,,2.707344062848812
1.0,A,1,affine,1,5000.0,5000.0,0.13703493193850136,0.9485359798132776,1.2168706197152006,0.6057184858613551,0.0,1.0,1.0045353879072214,0.6924,
1.0,COL,1,colocated,1,,,0.16307692307691468,1.184910256410268,,0.7657037181998699,,,,,1.5154974358972164
1.0,A,1,affine,2,5000.0,5000.0,0.13690775391103216,0.9770721133667282,1.2573808240349913,0.6887520155666247,0.11782953520232836,1.0,1.012842285657695,0.8328,
1.0,COL,1,colocated,2,,,0.16320512820493605,1.2011987179486996,,0.7895080092789015,,,,,1.5612538461539576
1.0,A,1,affine,3,5000.0,5000.0,0.13688023060524301,0.9707688717513634,1.2341416140822696,0.6935053713495829,0.08285838133969108,1.0,1.0095769680217868,0.8298,
1.0,COL,1,colocated,3,,,0.163205128205135,1.1877307692307228,,0.8047978192093411,,,,,1.5596307692308122
1.0,B,3,affine,1,5000.0,5000.0,0.2522482614931505,1.5210012063048737,2.2404835046709985,0.9465895856997054,0.9001106386690744,0.9998,0.947461346844229,0.5706,
1.0,COL,3,colocated,1,,,0.34224773717915014,2.1997243210318302,,0.9611833257927332,,,,,3.2792941319624758
1.0,B,3,affine,2,5000.0,5000.0,0.25879293309969853,1.4418053525153482,2.170176296585505,0.939387164961772,0.8885841736473897,1.0,0.9004763305457137,0.5778,
1.0,COL,3,colocated,2,,,0.3492246386554143,2.053563690697377,,0.9574638700276789,,,,,3.0088149700804685
1.0,B,3,affine,3,5000.0,5000.0,0.26460293706281846,1.4768627200320459,2.213924426447884,0.9379035326802062,0.8905840364120086,1.0,0.9850088957475117,0.512,
1.0,COL,3,colocated,3,,,0.3687067157333104,2.0945406707421066,,0.955869112859349,,,,,3.188024937868139
1.0,C,3,loadbal,1,5000.0,5000.0,0.3078094491381762,1.8273998849802298,2.6888550021187005,0.9565302760790142,0.9221313291654977,0.9996,0.947461346844229,0.6034,
1.0,COL,3,colocated,1,,,0.34224773717915014,2.1997243210318302,,0.9611833257927332,,,,,3.2792941319624758
1.0,C,3,loadbal,2,5000.0,5000.0,0.3061051152486698,1.7894943976027669,2.611565861966959,0.9527243515371524,0.9126829835093434,0.9996,0.9004763305457137,0.605,
1.0,COL,3,colocated,2,,,0.3492246386554143,2.053563690697377,,0.9574638700276789,,,,,3.0088149700804685
1.0,C,3,loadbal,3,5000.0,5000.0,0.3556350649150204,1.8097032415244259,2.556584143966228,0.9506783232694097,0.9180162869456898,1.0,0.9850088957475117,0.5258,
1.0,COL,3,colocated,3,,,0.3687067157333104,2.0945406707421066,,0.955869112859349,,,,,3.188024937868139
