condition,cv,policy,n_prefill,service_scale,transfer_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
A,1,affine,1,0.5,0.7,1,5000,5000,0.07129908938833296,0.4828058291285565,0.6170256349672981,0.7347435499009611,0.2666922271255591,1.0,3.0136061637216676,0.6444
A,1,affine,1,0.5,0.7,2,5000,5000,0.07148789413561474,0.5081557457445115,0.6701515533307468,0.7813826373126661,0.410021873305533,1.0,3.038526856973073,0.766
A,1,affine,1,0.5,0.7,3,5000,5000,0.07109643199678928,0.4936342952179019,0.6294523618193747,0.7749722079554531,0.34782315861590285,1.0,3.0287309040653643,0.771
A,1,affine,1,0.5,0.7,4,5000,5000,0.0712397508039544,0.4974405521808933,0.663036287576673,0.7762502865086137,0.3901848714702787,1.0,3.0266490070587078,0.7692
A,1,affine,1,0.5,0.7,5,5000,5000,0.0718956731188709,0.4951168385283893,0.6320054335270741,0.7792483052411812,0.41593737964196087,1.0,3.07016459852269,0.7632
A,1,affine,1,0.5,1.0,1,5000,5000,0.07402600480446608,0.48531999081501326,0.6214402478678985,0.7270863848364275,0.26232314687133407,1.0,3.0136061637216676,0.6444
A,1,affine,1,0.5,1.0,2,5000,5000,0.07418234123690581,0.5105958425514019,0.6719468302714774,0.7777144811426565,0.40384044360505666,1.0,3.038526856973073,0.766
A,1,affine,1,0.5,1.0,3,5000,5000,0.0736978880904644,0.49629109402627025,0.6341559898550797,0.7702537990177231,0.34328224610311026,1.0,3.0287309040653643,0.771
A,1,affine,1,0.5,1.0,4,5000,5000,0.07384452015816123,0.49996359821701053,0.6655922073796982,0.7698778495923152,0.3849764943161312,1.0,3.0266490070587078,0.7692
A,1,affine,1,0.5,1.0,5,5000,5000,0.07461866365269998,0.49705351372465434,0.6338542088941556,0.7752664721335076,0.41063373553392835,1.0,3.07016459852269,0.7632
A,1,affine,1,0.5,1.4,1,5000,5000,0.07732238849365558,0.48875337535548063,0.6247363472216112,0.7189236649495563,0.25610383454145097,1.0,3.0136061637216676,0.6444
A,1,affine,1,0.5,1.4,2,5000,5000,0.07775962042012452,0.5135958908768068,0.6743064531193904,0.7721645902875903,0.3960443646477796,1.0,3.038526856973073,0.766
A,1,affine,1,0.5,1.4,3,5000,5000,0.07716529951068196,0.49920460058675076,0.6374246463589237,0.7638215788383824,0.3350781989940978,1.0,3.0287309040653643,0.771
A,1,affine,1,0.5,1.4,4,5000,5000,0.0773450952372059,0.5028567375494433,0.6689912200996201,0.766364814322509,0.3778917576028615,1.0,3.0266490070587078,0.7692
A,1,affine,1,0.5,1.4,5,5000,5000,0.07808801350125805,0.5001609307484348,0.6360143860561447,0.7700608292629384,0.40450065372379307,1.0,3.07016459852269,0.7632
A,1,affine,1,1.0,0.7,1,5000,5000,0.15201914007161577,1.0418581939204103,1.341063827417261,0.8793257715994649,0.7287425941791292,1.0,3.0136061637216676,0.5594
A,1,affine,1,1.0,0.7,2,5000,5000,0.1520441971826756,1.087185644777343,1.476487315335391,0.8904248902539375,0.7562576560749854,1.0,3.038526856973073,0.648
A,1,affine,1,1.0,0.7,3,5000,5000,0.15235957212114215,1.0654440627304278,1.3560362839683788,0.883781335866864,0.7484017193501803,1.0,3.0287309040653643,0.6516
A,1,affine,1,1.0,0.7,4,5000,5000,0.1505803697385204,1.0726875134538432,1.4175142559141467,0.8828393141803479,0.7443185536789134,1.0,3.0266490070587078,0.6408
A,1,affine,1,1.0,0.7,5,5000,5000,0.15387551689411794,1.0897092404788227,1.5116917735481379,0.8916847104379245,0.7610807675144715,1.0,3.07016459852269,0.644
A,1,affine,1,1.0,1.0,1,5000,5000,0.15425616794316,1.0437801902670631,1.3443939403697118,0.8769490588678931,0.7232138258319248,1.0,3.0136061637216676,0.5594
A,1,affine,1,1.0,1.0,2,5000,5000,0.15465559568525578,1.0901024320043136,1.4810508024550608,0.8878626104308603,0.7531665717133836,1.0,3.038526856973073,0.648
A,1,affine,1,1.0,1.0,3,5000,5000,0.15459709005560285,1.068198050908287,1.360560775774855,0.8810481202521347,0.7468014158798266,1.0,3.0287309040653643,0.6516
A,1,affine,1,1.0,1.0,4,5000,5000,0.1531693121446267,1.0744448967741562,1.4185966839664068,0.880353548753906,0.7416809118724121,1.0,3.0266490070587078,0.6408
A,1,affine,1,1.0,1.0,5,5000,5000,0.1568071055045266,1.0925221441339148,1.5140878345700266,0.8865661307327807,0.7582798405686996,1.0,3.07016459852269,0.644
A,1,affine,1,1.0,1.4,1,5000,5000,0.15770438257862907,1.047299739071298,1.3487943215011509,0.8739692224455997,0.7195768252875369,1.0,3.0136061637216676,0.5594
