condition,cv,policy,n_prefill,service_scale,transfer_scale,p99_mean,p99_std,p95_mean,p50_mean,qfrac_p99_mean,qfrac_p99_std,p99_ratio_vs_colo_mean,p99_ratio_vs_colo_std,colo_p99_mean,max_pair_share_mean,attainment_mean
A,1,affine,1,0.5,0.7,0.6453422538896778,0.020838747651840416,0.49806325568343457,0.07433791163661238,0.763875430086832,0.01991593350856544,0.7893711521085589,0.02548958501211802,0.8175396987410132,0.74276,1.0
A,1,affine,1,1.0,0.7,1.4241530495041204,0.0685527739878153,1.0738968757754315,0.15497946492292936,0.8826084663744891,0.005161056464931802,0.6728208965063333,0.032386785162267416,2.1166896820522796,0.6287600000000001,1.0
A,1,affine,1,2.0,0.7,6.682373019124273,0.8531069633504055,4.40458709377396,0.9714474569593032,0.9645606061404511,0.007121074749644964,0.31694560751076545,0.04046294691974454,21.083658712314854,0.5166800000000001,0.9366266666666666
B,3,affine,1,0.5,0.7,1.2444980012761693,0.05953658178910464,0.8302096429033952,0.15680997915500589,0.9427186813757438,0.006384552473168905,0.6897234855739985,0.03299625926970866,1.8043433742733566,0.53668,1.0
B,3,affine,1,1.0,0.7,3.5673959604670062,0.13732126816923843,2.4603413318159073,0.5260656572653283,0.9677428461873506,0.003445225813277157,0.6332369643401172,0.024375455923160323,5.63358767943137,0.52992,0.9950266666666667
B,3,affine,1,2.0,0.7,16.43895108667763,1.4876262028960099,12.384809166074353,3.201550025388475,0.9881217733447403,0.0011223075162377037,0.3143090952637377,0.028443082740346102,52.30186251175347,0.54812,0.5928799999999999
C,3,loadbal,1,0.5,0.7,1.5036251376896241,0.1151322737784207,1.029721109988053,0.2153680921522664,0.9565718479121654,0.005685552672552922,0.833336469725538,0.06380840555073762,1.8043433742733566,0.57408,1.0
C,3,loadbal,1,1.0,0.7,4.889643483063357,0.14532264194873704,3.2982288349604247,0.8674936756668731,0.9768909920268442,0.001961471311587412,0.8679448623682193,0.0257957540058035,5.63358767943137,0.56508,0.9756133333333333
C,3,loadbal,1,2.0,0.7,38.88103872735364,7.164003779187467,33.0665874004732,7.741663971926838,0.9953042260414573,0.001243578252614212,0.7433968287193625,0.13697416182028976,52.30186251175347,0.5769599999999999,0.32217333333333337
D,2,affine,1,0.5,0.7,0.80416744306592,0.011941593164299677,0.583211775410626,0.09768271877059931,0.896335579507618,0.007192133371722211,0.6890470743748724,0.010232097685856154,1.1670718488943428,0.5965999999999999,1.0
D,2,affine,1,1.0,0.7,2.1114160915565545,0.07236197654416189,1.4626970815482698,0.25969182380742667,0.9381662973602527,0.004118569349678411,0.6034482516830149,0.020681242512322784,3.4989182347746017,0.5582400000000001,0.9998400000000001
D,2,affine,1,2.0,0.7,11.757417436104388,3.1122007658984012,7.529345579090235,1.8902684383832782,0.9823373509664738,0.0026352880533312877,0.29249194249442384,0.07742292492354227,40.19740624591235,0.52744,0.7806266666666666
E,3,affine,2,0.5,0.7,0.6681622331246335,0.0065555016172526666,0.5163754365807192,0.0908902008794153,0.8320097323424348,0.01994663548449852,0.37030769345314624,0.0036331785350405873,1.8043433742733566,0.5457599999999999,1.0
E,3,affine,2,1.0,0.7,1.4480859246037696,0.033551922880999424,1.0955910855205013,0.1985893848724648,0.8872262115274544,0.015190472702328933,0.25704506737169186,0.005955693740864261,5.63358767943137,0.52404,1.0
E,3,affine,2,2.0,0.7,3.8947720246892645,0.1675542106820172,2.707816632103244,0.5584000441942654,0.9351842327448926,0.006179654567335321,0.07446717645693816,0.003203599310528641,52.30186251175347,0.55724,0.9912266666666668
