request_id,cls,prompt_len,output_len,hot,arrival_cv1,arrival_cv2,arrival_cv3
1,short,699,200,0,0.20688663051703818,0.0008910453825255523,1.1073669489471519e-08
2,short,1334,200,0,0.5280796010458172,0.050267478724940376,4.348213626555676e-05
3,short,1146,200,0,0.5530685366009539,0.15926386741088955,0.3014823379741235
4,short,1201,200,0,0.9460063860700905,0.15929040038371045,0.33052335271900446
5,short,954,200,0,0.9512683009699963,0.2122386109985181,0.330733463956876
6,short,1318,200,0,0.9623096399537339,1.2082106909680073,0.33073348461591373
7,short,940,200,0,1.2268480566573734,1.208671277905386,0.330734620411521
8,short,979,200,0,1.3540847837687218,1.2088401259115928,0.33525996765514987
9,long,9105,200,1,1.4277300493389515,1.2727105893013813,0.5021721251881036
10,short,1500,200,0,1.5042496943390473,4.527095328924264,0.5021723930551808
11,short,837,200,0,1.7984650548495285,4.52710971103359,0.5022824875711286
12,long,10126,200,1,1.869962988428748,4.528530775126095,0.8031706592867851
13,short,2206,200,0,2.9344848487168655,4.528530777930762,0.8606313133058104
14,short,1264,200,0,3.182343876233445,4.55651055883944,1.1096784890358395
15,short,957,200,0,3.416945963750567,4.713742509138677,1.109680703710846
16,short,1789,200,0,3.4172640942944805,4.727767616240535,1.1096807039169039
17,long,8183,200,1,3.7412944762751295,4.752764701732178,1.842609790117438
18,short,612,200,0,3.8661195813663,4.805094681927152,1.8426586526554767
19,long,11318,200,1,4.987528603699182,5.757391100898367,1.8430222129073457
20,long,8443,200,0,5.86017295472545,5.764177794402579,1.8430222129073457
21,short,1948,200,0,5.888031659633343,5.7677285794458335,1.8430223720634515
22,short,755,200,0,6.068768023282737,5.768796025784139,1.930111976736286
23,short,868,200,0,6.36179023526103,5.847693420220832,1.9688828697266227
24,short,696,200,0,6.367348867430908,5.847705325548352,2.0414561864859997
25,short,620,200,0,6.46431276709923,5.847815540439061,2.7622897408814175
26,short,807,200,0,6.481271198226929,5.847925595849484,2.762289740886208
27,long,9149,200,1,6.540211117045311,6.174017551692281,2.762325467037558
28,long,8000,200,0,6.893273905480678,7.01609534531886,2.7677182806856493
29,long,11523,200,1,7.121108493483583,7.021687417376133,2.7677182893502033
30,short,1180,200,0,7.4641403437594604,7.022493251436497,2.7677182917145586
31,short,1195,200,0,7.483391740836836,7.322141160664804,2.767720952056259
32,short,1484,200,0,7.616809087788048,7.371302471500413,2.7700280834038216
33,short,835,200,0,7.706684437143586,8.415139199771968,2.8391897839923192
34,short,570,200,0,8.258180781123153,8.447911230537702,2.8566584653511797
35,short,915,200,0,8.284036300116007,8.449190973658695,2.8566585071354207
36,long,10874,200,1,8.73055807355972,8.493848910909593,2.9136973467236142
37,short,1295,200,0,8.837523995271154,8.493915229670687,2.9164869882239857
38,short,1103,200,0,9.358476952560698,11.432364674259144,2.9319951724457862
39,short,792,200,0,9.592894687152238,11.43269971005431,2.9481824249020843
40,long,9380,200,1,9.95047144410276,11.433545757329155,3.0040404510393395
41,long,8000,200,1,10.012718414029278,12.136933031412116,3.420520738163505
42,short,389,200,0,10.325923123201957,12.684786834092632,3.4206310169285765
43,short,1064,200,0,10.52901718155683,12.701940914989548,3.4230958518464383
44,short,1405,200,0,10.575013327292389,12.816201473697442,3.4956152448752555
45,long,10277,200,1,10.816617724081702,12.818296882468232,3.4956769826187744
46,short,1162,200,0,11.142357523204343,16.59187782180629,3.5015036355205775
47,long,9395,200,1,11.566862274333705,16.595681885044247,3.5050197477886336
48,short,1419,200,0,12.002593950499184,16.638324293419547,3.5050197478198832
49,long,9418,200,0,12.760219753732253,16.93769329771053,3.5050197573524855
50,short,1267,200,0,13.257939011885933,16.989824695859106,3.5050203590604245
51,short,1201,200,0,13.42530234050015,16.98982470983738,3.5050203687236143
52,short,832,200,0,13.63838770388101,16.999547994674046,3.6775057316711566
53,long,10743,200,0,13.755061474013973,16.99964395812547,3.6775175273273177
54,short,513,200,0,14.188735526301327,17.003713195931226,3.6775180473106786
55,long,8000,200,1,14.208275886694341,17.189592587751523,3.705183716022903
56,short,2060,200,0,14.722897527676706,17.923308649910734,3.760680347145154
57,long,8000,200,0,14.79623658381944,18.26671697783134,4.004141016926169
58,short,781,200,0,15.772454830720013,19.947827241016853,4.00414101692617
59,long,8000,200,1,16.04586893835996,19.947975885562062,4.004846955861191
60,short,796,200,0,16.158438238825855,20.11572461034653,4.006300274589622
61,short,899,200,0,16.219787356995905,20.115731588549455,4.006346165355231
62,short,832,200,0,16.408372904828152,20.12789285009366,4.084329608587731
63,short,1630,200,0,16.73750411298127,20.17981173146946,4.41259898944836
64,short,725,200,0,17.004318436393966,20.191750791384663,5.281095258158917
65,short,909,200,0,17.161644636507766,20.321098411765245,8.235552157018486
66,short,809,200,0,17.890612983010822,20.3211215135354,8.235552157291178
67,long,8629,200,0,18.203125210160806,20.3478725753577,8.39347167124139
68,short,1533,200,0,18.31389492146331,23.501531861418954,8.393471951964177
69,short,1092,200,0,18.72721305407934,23.503827678982976,8.533824967968025
70,short,1038,200,0,19.064743761288756,23.50385825593961,8.570400022173695
71,long,9262,200,1,19.14817680486074,23.705401151512586,8.570400050782046
72,short,962,200,0,19.41253595127759,23.705425997533396,8.570400050782046
73,short,1022,200,0,19.86886450347153,23.708909747267153,8.691046149676595
74,short,555,200,0,20.245522414998018,24.965542538479824,8.691057368022644
75,short,1170,200,0,20.743537681595363,25.165198583527022,8.850846102103487
76,short,602,200,0,22.251117887674358,25.16540521983518,8.850896831948805
77,short,1694,200,0,22.29543476544418,25.39566840947141,8.898609434728485
78,short,1493,200,0,22.82764686746526,25.43137431384203,9.230654939493409
79,short,1163,200,0,22.836208793506962,26.407243603768677,9.310722561923985
80,short,745,200,0,23.57035806396888,26.671581638348336,9.404301374757377
81,short,1852,200,0,23.791690790301455,26.73201717509611,9.40596132388164
82,short,1254,200,0,24.005792695408335,26.857005399597426,9.550998784650984
83,long,9721,200,1,24.23515263551956,26.857133913556478,10.363241829185005
84,long,8000,200,1,24.6159582512917,26.858066147407463,10.36324182918588
