p_hot,c,load,gamma,rho_hot_frozen,rho_hot_full,rho_B_pernode,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full,G_pp_L1,G_pp_L2
0.5,8,0.5,0.5,0.5,0.75,0.375,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True,0.0,0.0
0.5,8,0.5,1.0,0.5,0.75,0.375,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,8,0.5,2.0,0.5,0.75,0.375,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,8,0.65,0.5,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True,0.0,0.0
0.5,8,0.65,1.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,8,0.65,2.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,8,0.8,0.5,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,8,0.8,1.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,8,0.8,2.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,16,0.5,0.5,0.5,0.75,0.375,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True,0.0,0.0
0.5,16,0.5,1.0,0.5,0.75,0.375,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,16,0.5,2.0,0.5,0.75,0.375,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,16,0.65,0.5,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True,0.0,0.0
