run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,replication_active,replication_kv_extra
e2_A_p0.5_c008_l0.50_L1_g1.0_r01,A,0.5,0.5,2.0,L1,1.0,8,1,1001,200,208.09055338901982,14,9588,0.24469512688581754,0.948393472056063,2.402437252503887,0.8836387344908376,1.3977647470734378,1.010372440099203,1.8203412684628346,1.06103515625,1.9005629105721158,0.4012230322914485,0.9690765621667733,1.0,0.9690765621667733,0.6242225935702179,0.2904631048932322,0.28539688911470723,0.28784100419108877,0,0.6242225935702179,False,7439.0,5605,6104.0,1477,8109.0,1446,8149.0,1456,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r02,A,0.5,0.5,2.0,L1,1.0,8,2,1002,200,196.28901674774605,30,9597,0.25661650487017745,0.9521635980976616,2.3878803569934286,0.8939438357233909,1.4288935404788183,1.0135361001724226,1.8165631362071395,1.06201171875,1.8742975297904096,0.410535222937724,0.9691370558375635,1.0,0.9691370558375635,0.6438119388443446,0.27478840466186605,0.2792804629232347,0.28691061074791446,0,0.6438119388443446,False,7914.0,5772,8077.0,1378,8183.0,1393,6284.0,1439,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r03,A,0.5,0.5,2.0,L1,1.0,8,3,1003,200,214.71932921202745,76,9580,0.24999333043562227,0.9769294282076713,3.266255888726567,0.9411633992399655,1.417407272750835,1.01263577252128,1.9784700566175388,1.06103515625,2.7560391929519423,0.3412056987520438,0.951525282072712,0.9985398414685023,0.9529166915096264,0.6344765337695653,0.29328275010001237,0.28474682489903413,0.2821273604390354,0,0.6344765337695653,False,7299.0,5672,6199.0,1475,6201.0,1421,8164.0,1416,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r04,A,0.5,0.5,2.0,L1,1.0,8,4,1004,200,192.5994939962499,23,9620,0.24562853391351783,0.9400442976173343,2.3388581326751905,0.8674117539021522,1.4024826820852831,1.010212708437213,1.8027897320066577,1.060546875,1.8506262164445788,0.38278869978970753,0.9708060080389254,0.9997956264050685,0.9710044557102334,0.6216567589348934,0.2986657518595453,0.2878926668870293,0.2893074904155348,0,0.6216567589348934,False,8085.0,5591,6324.0,1495,6405.0,1444,8076.0,1453,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r05,A,0.5,0.5,2.0,L1,1.0,8,5,1005,200,220.78103468776118,35,9571,0.2469877055403027,0.9398774006840597,2.4362742445097183,0.8665934233156614,1.3622781956181849,1.0113614207135853,1.8260400578345752,1.06103515625,1.954651144507352,0.35595664076561867,0.9663563267033433,1.0,0.9663563267033433,0.6172730166398059,0.29333582286156956,0.28226321409710436,0.2931253133504232,0,0.6172730166398059,False,8168.0,5590,6156.0,1484,8073.0,1420,7941.0,1489,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r06,A,0.5,0.5,2.0,L1,1.0,8,6,1006,200,176.60997309851942,9,9622,0.25616847584002217,0.9472268644035853,2.35593969836733,0.8870927114448314,1.3319836932465965,1.010437588820472,1.8268676336206227,1.06103515625,1.887832695098495,0.33889473230599415,0.9714053944433177,1.0,0.9714053944433177,0.6390033784841345,0.28251663955445155,0.27545240335481913,0.2807436505643216,0,0.6390033784841345,False,7294.0,5777,6145.0,1410,6187.0,1383,8070.0,1414,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r08,A,0.5,0.5,2.0,L1,1.0,8,8,1008,200,182.77835991850776,13,9605,0.24471227570398993,0.9556205812030651,2.3553596874644063,0.8968948138740422,1.360241757984295,1.0120093026894024,1.829202696122502,1.06201171875,1.8460295228967745,0.3683387512636956,0.9687566418703507,1.0,0.9687566418703507,0.627519445912191,0.3006791101896096,0.2972577570948688,0.29486820819066484,0,0.627519445912191,False,7322.0,5562,8077.0,1487,8060.0,1469,8136.0,1464,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r07,A,0.5,0.5,2.0,L1,1.0,8,7,1007,200,194.20511678213327,29,9626,0.24714507599589777,0.9540758833014045,2.4671749903174125,0.8948842689197849,1.3903362768973968,1.0119540203143753,1.7985430606569022,1.0615234375,1.98857232803524,0.39504188261605133,0.9695314141626392,1.0,0.9695314141626392,0.6351442375391702,0.2980838857005582,0.29472882694474833,0.2938664233057634,0,0.6351442375391702,False,7181.0,5621,8114.0,1462,8018.0,1453,6071.0,1448,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r09,A,0.5,0.5,2.0,L1,1.0,8,9,1009,200,181.21996335135046,43,9608,0.2471413844555986,0.9490178265488698,2.3898223539253127,0.8835629544460818,1.4516743850615055,1.0129376533071366,1.8239682357747138,1.06201171875,1.9091569000358959,0.40633006251632625,0.9700863703391616,1.0,0.9700863703391616,0.6304714135127688,0.2919600858884925,0.2964492770336374,0.2902917868021784,0,0.6304714135127688,False,7390.0,5615,6068.0,1453,8054.0,1470,7842.0,1447,,
e2_A_p0.5_c008_l0.50_L1_g1.0_r10,A,0.5,0.5,2.0,L1,1.0,8,10,1010,200,231.10359029548252,10,9566,0.25323907987881755,0.9559787350568923,2.4100540454912665,0.9037574947872525,1.3434485627500188,1.009571598667654,1.846648261942392,1.06103515625,1.9142310262286755,0.34313553328911467,0.9657378740970072,1.0,0.9657378740970072,0.6504067127229304,0.2888927087298206,0.2928208071273826,0.2832017439788563,0,0.6504067127229304,False,7924.0,5719,6264.0,1431,8071.0,1438,6315.0,1395,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r01,A,0.5,0.5,2.0,L2,1.0,8,1,1001,200,208.09055338901982,17,9588,0.24469512688581754,0.9440144574203616,2.3450197873338445,0.8743600740044121,1.4050932759902295,1.0106830436292586,1.8203412684628346,1.06103515625,1.8369684955058605,0.40125431483428414,0.9695030923437833,1.0,0.9695030923437833,0.6238933251818936,0.28772987611002937,0.28803033351437524,0.2882700569629479,0,0.6238933251818936,False,3179.0,5605,2066.0,1457,4031.0,1464,2014.0,1468,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r03,A,0.5,0.5,2.0,L2,1.0,8,3,1003,200,214.71932921202745,75,9580,0.24999333043562227,0.97562383522304,3.260158814178315,0.9375563848297699,1.421590104374571,1.0136277604592079,2.0045702105778105,1.0615234375,2.730527860053544,0.351860335305591,0.9496447973255328,0.9985398414685023,0.9510334569414256,0.6303899984568728,0.29452956720892143,0.2863996935568217,0.28331420998503126,0,0.6303899984568728,False,3261.0,5654,2047.0,1477,1973.0,1443,2142.0,1421,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r02,A,0.5,0.5,2.0,L2,1.0,8,2,1002,200,196.28901674774605,33,9597,0.25661650487017745,0.9523225672334181,2.4801451935638776,0.8949678843512098,1.4217473668522005,1.0127831436878008,1.832375619575851,1.06103515625,1.9888927782848722,0.4095008313779589,0.9683248730964467,1.0,0.9683248730964467,0.6380194613416287,0.2755976020888617,0.2889691464855207,0.28220520726134884,0,0.6380194613416287,False,3953.0,5752,4051.0,1373,4011.0,1454,2133.0,1413,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r05,A,0.5,0.5,2.0,L2,1.0,8,5,1005,200,220.78103468776118,32,9571,0.2469877055403027,0.9469805658516899,2.607014616245692,0.881106523412459,1.3678337618161294,1.011236649353817,1.8611100514907548,1.06103515625,2.113844296186926,0.365051005511569,0.9631823952602624,1.0,0.9631823952602624,0.6192578131272869,0.28890091891463027,0.28732428216764333,0.2905143527393427,0,0.6192578131272869,False,3163.0,5591,4012.0,1465,1981.0,1464,2151.0,1474,,
