run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,variant,replication_active,replication_kv_extra,total_input_tokens,replication_tokens,replication_share
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r01,A,0.7,0.5,1.4285714285714286,L1,1.0,16,1,1001,200,184.24584139148243,0,9716,0.3452894422726003,0.8492296152735004,2.15588529813258,0.78166412794749,1.06201171875,0.9996868030918,1.5780541637400345,1.0556640625,1.6592228871838053,0.0,0.9853840417598807,1.0,0.9853840417598807,0.5435579109893712,0.12366584181918798,0.1288658598847939,0.12300772071014623,0,0.5435579109893712,False,7319.0,7315,8053.0,883,8116.0,911,8171.0,873,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r02,A,0.7,0.5,1.4285714285714286,L1,1.0,16,2,1002,200,181.6711598001444,0,9732,0.3532695979445731,0.8620168872635948,2.3138914288933496,0.804419706675918,1.06125,1.0006170330599817,1.6577319953164078,1.05712890625,1.7980144680437156,0.0,0.9808,1.0,0.9808,0.5583286032054494,0.12129802650804439,0.11690312066696264,0.12625033259631296,0,0.5583286032054494,False,7841.0,7453,6347.0,842,6119.0,813,6145.0,876,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r03,A,0.7,0.5,1.4285714285714286,L1,1.0,16,3,1003,200,200.8987421649551,0,9722,0.35196005995791524,0.8764486517018606,2.363956142158415,0.8242206246808305,1.06201171875,1.0002819557135827,1.7517069982938778,1.0576171875,1.8877915153075606,0.0,0.9738227551915765,1.0,0.9738227551915765,0.5601621137592289,0.1229331450920159,0.12221699203641301,0.11721293516117928,0,0.5601621137592289,False,7368.0,7451,6249.0,859,8140.0,855,8165.0,818,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r04,A,0.7,0.5,1.4285714285714286,L1,1.0,16,4,1004,200,189.67008414687018,0,9729,0.347162916454932,0.8543551478804077,2.2871082317632276,0.789967918806967,1.06201171875,1.000742936187689,1.6251409425281507,1.056640625,1.775859949036412,0.0,0.9810566819594495,1.0,0.9810566819594495,0.5453858261599634,0.12908659385852114,0.12825366885147546,0.12253249165375905,0,0.5453858261599634,False,7076.0,7321,6405.0,899,6338.0,903,6260.0,862,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r05,A,0.7,0.5,1.4285714285714286,L1,1.0,16,5,1005,200,231.18861316139217,0,9688,0.34856016110855564,0.860999488791409,2.5205171117015652,0.7996403188381369,1.06201171875,1.0020399233690525,1.6675251893348104,1.05712890625,2.025937097265796,0.0,0.9758554288253593,1.0,0.9758554288253593,0.5491813469745741,0.12170044861925013,0.12368088844640222,0.12416222115222941,0,0.5491813469745741,False,7306.0,7362,8164.0,863,7809.0,873,8076.0,884,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r06,A,0.7,0.5,1.4285714285714286,L1,1.0,16,6,1006,200,198.04621179580025,0,9703,0.35691300501077794,0.8605944967999921,2.305143909795746,0.8040785720992701,1.06201171875,1.0016908306113805,1.6511020586208356,1.05615234375,1.7955315543446078,0.0,0.9770496535796767,1.0,0.9770496535796767,0.5525120731469888,0.11814596563330858,0.12343844146471644,0.11970672071782266,0,0.5525120731469888,False,7189.0,7444,8160.0,830,8134.0,870,8170.0,838,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r08,A,0.7,0.5,1.4285714285714286,L1,1.0,16,8,1008,200,182.8653557124622,0,9718,0.3494146633885882,0.8819280271475205,2.3231097387909903,0.830310781557559,1.06201171875,1.002038406563805,1.7376242128251758,1.05712890625,1.8254617863856402,0.0,0.9739590996027659,1.0,0.9739590996027659,0.5585704935485367,0.12481224781345934,0.1268933669329992,0.1259394545746676,0,0.5585704935485367,False,8042.0,7371,6200.0,861,7972.0,873,7895.0,878,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r07,A,0.7,0.5,1.4285714285714286,L1,1.0,16,7,1007,200,200.731381672044,0,9726,0.3504982007910014,0.873072641855607,2.2452854315215243,0.8189311100560273,1.0615234375,1.0000733660872323,1.6786004308889797,1.056640625,1.7489741799548837,0.0,0.9802023757149142,1.0,0.9802023757149142,0.563058960698177,0.12604014775313505,0.12347448850777577,0.12497952746360567,0,0.563058960698177,False,7153.0,7409,8157.0,864,8117.0,853,8151.0,857,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r09,A,0.7,0.5,1.4285714285714286,L1,1.0,16,9,1009,200,182.64450662975602,0,9717,0.35218356622420566,0.8790808418342655,2.4799775900468384,0.8283119502106523,1.06201171875,0.999842311791546,1.7704527200945677,1.05712890625,2.0051838432344127,0.0,0.969595088437363,1.0,0.969595088437363,0.5593259530227156,0.12245959809833529,0.1209146760890261,0.12554490373746147,0,0.5593259530227156,False,7293.0,7419,8090.0,850,6070.0,841,7920.0,874,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L1_g1.0_base_r10,A,0.7,0.5,1.4285714285714286,L1,1.0,16,10,1010,200,224.53756096003636,0,9696,0.35566306007708176,0.8517505080736156,2.226937913935399,0.7913827371133121,1.06201171875,1.000502389571727,1.6344202648967439,1.05712890625,1.7215616309832513,0.0,0.9820211686240394,1.0,0.9820211686240394,0.5651033022283539,0.12135528155901436,0.12140230029379015,0.12492746614849862,0,0.5651033022283539,False,8186.0,7444,6261.0,841,6294.0,843,6116.0,856,base,False,0,,0,0.0
