seq,unit_dt,u_class,total_tokens,max_tokens
1,1.0898937113060192e-09,0.9976699606468918,2107,256
2,1.8957108025159723e-18,0.9153146512508252,2033,256
3,0.2386905655622025,0.2702210320323863,1981,256
4,0.24443672601201488,0.4745474917483088,2005,256
5,4.7228037592756866e-14,0.6746230288512638,2037,256
6,0.001293438728557877,0.7167456381873171,2098,256
7,0.00018262480098353866,0.8991244251871241,2132,256
8,4.114744485094269e-05,0.0460379940268758,1992,256
9,5.882654542572418e-18,0.4429465950925021,2037,256
10,5.203919027548727e-06,0.791160820839668,2141,256
11,7.617814428083725e-05,0.4753114149510256,1936,256
12,3.1691167900187125,0.3266213155139993,2118,256
13,0.2980927204094519,0.569451451996755,2112,256
14,0.00017608852358107696,0.073533292464236,2116,256
15,0.017686016639951615,0.3030905252583661,2087,256
16,4.212499327835038,0.3242746318153153,2102,256
17,0.009300209092233029,0.0048659235955629,2147,256
18,6.17070860968314,0.7239267467331486,2167,256
19,1.2285183824204719e-05,0.1432895868421995,1995,256
20,0.09864670281844976,0.7673634949285226,2175,256
21,2.0475832664726586e-19,0.0275703905421164,2057,256
22,2.144267640540598,0.99182808978289,2134,256
23,2.8417103560328807e-09,0.352825433734484,2108,256
24,0.0016454922612103469,0.3865925859856495,2025,256
25,0.01649561458884053,0.5694777757530404,2053,256
26,2.0174071791533725e-17,0.2346887110155138,1933,256
27,3.7805119032048346e-05,0.9367008506318192,2081,256
28,0.008001628716751136,0.5557369677075992,2062,256
29,1.3147051695674493e-19,0.0220653110691121,2153,256
30,0.430600600088746,0.0630753806010199,2168,256
31,4.1516495861683517e-14,0.1110194044422123,1975,256
32,0.004833532174043912,0.595852902895801,2042,256
33,4.076087206332768,0.4034240314897388,1959,256
34,1.136232582338194e-21,0.4817106606832668,2002,256
35,0.8332318225784288,0.912424049322782,2006,256
36,0.00020723322487197087,0.2692699429524342,2158,256
37,0.043803685912714996,0.9206733534768484,2175,256
38,2.528819341105354e-24,0.3597227095121172,1965,256
39,2.859217626574265e-06,0.4144866776054443,2010,256
40,0.003146414699623683,0.4914983067095536,2173,256
41,6.396109229605447e-23,0.5885034812826039,1926,256
42,7.201109505500467e-29,0.6608240398478381,1981,256
43,7.158206371384721e-12,0.4936051967590594,1980,256
44,6.360656534359763e-06,0.8503273047892924,1936,256
45,0.004331809393596105,0.6783201992358705,1933,256
46,0.0006342902259624933,0.7313010105540192,2138,256
47,9.104569823010501e-11,0.930251358135754,2143,256
48,1.2739696126439578e-12,0.574506908754291,2116,256
49,0.0018012281832877647,0.0559512117154928,2018,256
50,0.00028772258304743826,0.8397901490343992,1991,256
51,2.0446057166340985,0.7494389150020445,2023,256
52,1.6581967064707732e-14,0.7563727700034281,2002,256
53,1.1157460936260095,0.5241838853476567,2173,256
54,0.00012479231432320696,0.5162440185178548,2169,256
55,0.08745123401386591,0.1033667875700637,2114,256
56,0.0002747950622061567,0.1819436497496319,2145,256
57,6.248463458008679,0.6672186773671518,1944,256
58,0.0023382427442654387,0.8370067911343353,2111,256
59,2.520753340835377e-07,0.8517350056877109,2027,256
60,12.142712142514462,0.2308187292078872,1963,256
61,1.261283873015078e-07,0.7579758212780687,2120,256
62,0.06448047965950021,0.7669520000484377,1922,256
63,2.991133132843004e-11,0.3956994393596504,2110,256
64,4.857512752921658e-25,0.6112059247225994,1958,256
65,5.820959118845091e-40,0.1506860529199658,2156,256
66,12.844311302572523,0.1424142757094111,1956,256
67,3.7415831657357294e-10,0.7721108462318645,2074,256
68,0.11796489113723417,0.877205856257205,2048,256
69,0.010754977640923329,0.5337255838654507,2107,256
70,1.1837003076681592e-20,0.4266120201351735,2022,256
71,5.343944441310969e-21,0.7011426942842843,2005,256
72,0.0022012678227313915,0.0322509716111472,2058,256
73,8.445585470576572e-07,0.1304065157802678,1920,256
74,2.8086813706009573e-15,0.007641436113714,2015,256
75,2.062290032720981e-11,0.9627525323792796,1988,256
76,0.008235972650886648,0.1072522964960496,1993,256
77,0.03816720721351794,0.0313098667685711,1949,256
78,0.01917583912111204,0.0732905886006064,2086,256
79,0.0018061580906642853,0.5708672305020793,1977,256
80,0.09420483648947583,0.4169723739643992,2000,256
81,1.3602575326520211e-05,0.0654327457023691,1969,256
82,2.343300886441247e-12,0.8969408564916044,2115,256
83,0.34926107911507887,0.1342158586641456,1990,256
84,2.750094505399525e-05,0.626599111759728,2022,256
85,7.137572448356069e-14,0.5841236354870091,2081,256
86,8.559874705118968e-12,0.7159011879430411,1965,256
87,2.208705337105445e-06,0.6294429040359799,2164,256
88,3.989539160467024e-05,0.881791636899943,2016,256
89,8.72764003776447,0.2630083027167631,2079,256
90,9.517516543379942e-07,0.3692778893437423,2043,256
91,0.6655349874529802,0.8295900011308616,2026,256
92,8.260388158678396e-06,0.2077796584707467,2111,256
93,0.28326346555547227,0.6788086875830103,1921,256
94,1.482757108989361e-05,0.1886230061255075,1936,256
95,2.3927514187980977e-24,0.7866889078199364,2084,256
96,10.058133997616151,0.6671567982345561,2112,256
97,0.0007917171893483849,0.7416049438884437,2153,256
98,3.108146792050193e-11,0.9795898738768696,1983,256
99,1.297501566022291e-08,0.7288049856125648,2140,256
