seq,unit_dt,u_class,total_tokens,max_tokens
1,0.08412796471575415,0.7780699177875797,2007,256
2,1.0445065282864716,0.5890357126771668,2009,256
3,1.2093083203680475,0.883828499947184,2015,256
4,1.3931560116959318,0.7486738275457028,2137,256
5,0.7752203015042025,0.35970565992947845,1935,256
6,1.167216397390187,0.388355683072385,2012,256
7,0.20241675616367974,0.550339742121801,2136,256
8,0.1879415153727825,0.4676307695895342,2165,256
9,0.6911003920235785,0.20190929520483014,1991,256
10,0.6884540642401161,0.9914804229876428,2129,256
11,0.03856460550227322,0.9210795494569063,2131,256
12,1.0331593106237236,0.42940334349126796,2061,256
13,0.18004255506528688,0.8935766163425319,2046,256
14,0.07895476912647768,0.8040697830356601,1929,256
15,0.1346836432258069,0.18243095892086447,1982,256
16,0.6645976555379275,0.31309289203426127,1963,256
17,3.2923665290349264,0.5784540250688323,2045,256
18,3.17897743655311,0.9244637711241416,2170,256
19,0.7617960587225571,0.6895477443039459,2035,256
20,0.020096973644058314,0.537420181226079,2067,256
21,0.7872140303499435,0.01342749255913811,2021,256
22,1.0384563185945113,0.1633940999309973,2131,256
23,0.08958842780714038,0.28445915914133457,2008,256
24,0.42868960591183664,0.45681532066831443,1976,256
25,0.3639945950815335,0.7006229925983637,1926,256
26,0.39820743901599254,0.9288625010951638,2138,256
27,0.3575341557257401,0.003510715637070061,2170,256
28,4.631731308698644,0.4628576352674745,1998,256
29,0.8134799059140173,0.07022845777763864,2155,256
30,1.4051252615317282,0.5992910097361859,2126,256
31,2.838457382365153,0.24032809882071016,2042,256
32,0.18644217547655423,0.40935617153558224,2114,256
33,0.11242115045647699,0.8925870392920953,1990,256
34,0.28145344191736066,0.11710583655542639,1949,256
35,0.24868807103566598,0.5474349122542331,1978,256
36,2.2922961812013942,0.9324521029818524,2002,256
37,0.7236497607675981,0.655488873887782,2093,256
38,1.6387790282278687,0.08038320708989322,2105,256
39,0.4801864582266005,0.45669802510357504,2175,256
40,0.9305987737939458,0.8558281341298138,2136,256
41,0.9654146603594834,0.8191299077970311,2082,256
42,0.2309673481278129,0.9792794853019426,1951,256
43,2.0772488401265448,0.7704444479957412,2105,256
44,0.915518788365163,0.9576491362604949,1923,256
45,1.1484856368292558,0.9250407176955917,2066,256
46,0.4156381513433996,0.44976716417209184,2090,256
47,3.9753589546286516,0.3328808813703529,2151,256
48,0.06251899355399575,0.3185317100329048,2113,256
49,1.321864044726737,0.8158842712190965,2043,256
50,1.1567308648909755,0.6013019812435733,2041,256
51,4.678534469841657,0.8117875414578125,2019,256
52,0.45760894351656106,0.9876547629234498,2016,256
53,0.8511624295745019,0.03557158395733295,1986,256
54,0.14008117219815042,0.7385057490655345,1985,256
55,2.497182378211942,0.5043214353115147,2122,256
56,1.2740387012021415,0.1582889592185921,2069,256
57,2.696577567780109,0.23026363655184656,2146,256
58,0.4708655434269014,0.13274519319022093,1970,256
59,0.5150907777588922,0.16653701650772612,1943,256
60,1.3158622714071213,0.325973469552683,2149,256
61,1.3064578760263368,0.30766211368447005,2138,256
62,2.9176475202007293,0.43070093883926786,2090,256
63,0.06708157102830066,0.691299902171864,1946,256
64,0.8005503783150286,0.37407371160804026,2032,256
65,0.0893979054925609,0.907637250638976,2174,256
66,0.25713733083042417,0.38507229462127557,2092,256
67,0.4401367886702571,0.3369835607993885,1928,256
68,0.11641871908737608,0.15487904647972028,2079,256
69,0.10605139616363272,0.9363823051661853,1952,256
70,1.9071715072982078,0.3858562861734538,2056,256
71,0.6329427513299634,0.08027701145695576,1922,256
72,0.06229461305954538,0.7995151209847843,2110,256
73,1.5513725445571303,0.745283743169657,2141,256
74,0.393028837894665,0.15146971560044542,2026,256
75,4.949934462427108,0.42341663040221744,2105,256
76,1.2864699054943431,0.17666250341753043,1967,256
77,0.07066338967490957,0.49167537861899435,2004,256
78,0.5885225955672877,0.14676493528470014,2027,256
79,0.1777891251701056,0.3850715494600392,2023,256
80,0.6402520284380793,0.32205172134715576,2132,256
81,0.10042298127714376,0.37692545801744726,2028,256
82,1.873572904729419,0.6629675722116726,2016,256
83,1.2548918212434064,0.6929097912288676,2048,256
84,0.8883721897217303,0.8423864692001881,2077,256
85,0.16572435003440755,0.6307178733248755,2153,256
