seq,unit_dt,u_class,tokens_hot,tokens_cold,max_tokens
1,0.6277185943685336,0.9976699606468918,1183,2107,256
2,0.0215713430667249,0.9153146512508252,1211,2033,256
3,0.1662234195153031,0.2702210320323863,1295,1981,256
4,0.9341478797256434,0.4745474917483088,1350,2005,256
5,0.4681769562484238,0.6746230288512638,1335,2037,256
6,0.1220931930221864,0.7167456381873171,1168,2098,256
7,2.1121924544176163,0.8991244251871241,1286,2132,256
8,0.2143183336520373,0.0460379940268758,1301,1992,256
9,0.1149356316143358,0.4429465950925021,1337,2037,256
10,0.5450424281058857,0.791160820839668,1349,2141,256
11,0.1550264991529333,0.4753114149510256,1328,1936,256
12,2.018623119752324,0.3266213155139993,1304,2118,256
13,0.5777977837879682,0.569451451996755,1327,2112,256
14,0.3923945922358444,0.073533292464236,1349,2116,256
15,1.445229294386296,0.3030905252583661,1159,2087,256
16,0.3938845052098567,0.3242746318153153,1229,2102,256
17,0.4041436815899651,0.0048659235955629,1243,2147,256
18,0.586460163189847,0.7239267467331486,1183,2167,256
19,0.0670010201939565,0.1432895868421995,1384,1995,256
20,0.1629520085652609,0.7673634949285226,1366,2175,256
21,0.238485548294269,0.0275703905421164,1207,2057,256
22,1.292363934167066,0.99182808978289,1294,2134,256
23,2.4131658821717195,0.352825433734484,1328,2108,256
24,0.3224608329139198,0.3865925859856495,1270,2025,256
25,2.1290978624041297,0.5694777757530404,1163,2053,256
26,0.9237585339123502,0.2346887110155138,1278,1933,256
27,0.365353712154567,0.9367008506318192,1299,2081,256
28,0.1577139769762095,0.5557369677075992,1379,2062,256
29,0.6766265678248302,0.0220653110691121,1259,2153,256
30,2.5077339405200623,0.0630753806010199,1266,2168,256
31,0.6171274243382655,0.1110194044422123,1222,1975,256
32,1.2786000666611277,0.595852902895801,1276,2042,256
33,0.3022159031782976,0.4034240314897388,1223,1959,256
34,0.1022753072568206,0.4817106606832668,1407,2002,256
35,0.4880890823603871,0.912424049322782,1324,2006,256
36,0.1924886348699664,0.2692699429524342,1185,2158,256
37,0.0617928702965067,0.9206733534768484,1291,2175,256
38,0.9569712502945652,0.3597227095121172,1170,1965,256
39,1.3547724093117173,0.4144866776054443,1268,2010,256
40,0.8986007613004093,0.4914983067095536,1386,2173,256
41,0.2138349362053165,0.5885034812826039,1388,1926,256
42,1.7208067459438607,0.6608240398478381,1253,1981,256
43,0.3088273363298085,0.4936051967590594,1379,1980,256
44,1.0666850668216956,0.8503273047892924,1222,1936,256
45,2.2911968655533763,0.6783201992358705,1348,1933,256
46,0.8402804167467753,0.7313010105540192,1376,2138,256
47,0.3058800024654124,0.930251358135754,1325,2143,256
48,0.4955309939643064,0.574506908754291,1190,2116,256
49,1.3583237153196113,0.0559512117154928,1293,2018,256
50,0.975520533155402,0.8397901490343992,1271,1991,256
51,0.2504397422404423,0.7494389150020445,1230,2023,256
52,0.175271692190341,0.7563727700034281,1296,2002,256
53,0.1337280918406803,0.5241838853476567,1365,2173,256
54,0.3993012986484722,0.5162440185178548,1384,2169,256
55,0.5171225539411626,0.1033667875700637,1179,2114,256
56,0.231836322668164,0.1819436497496319,1271,2145,256
57,0.8462905179576176,0.6672186773671518,1354,1944,256
58,0.3337921383401116,0.8370067911343353,1352,2111,256
59,2.975965055119458,0.8517350056877109,1221,2027,256
60,4.576166482222482,0.2308187292078872,1328,1963,256
61,0.0340231234664054,0.7579758212780687,1198,2120,256
62,0.0543417311910516,0.7669520000484377,1277,1922,256
63,0.7201973027227461,0.3956994393596504,1333,2110,256
64,1.1825394483355438,0.6112059247225994,1381,1958,256
65,0.696452037597731,0.1506860529199658,1159,2156,256
66,1.1966001117725031,0.1424142757094111,1319,1956,256
67,1.3924325018416714,0.7721108462318645,1328,2074,256
68,0.9384454453340164,0.877205856257205,1327,2048,256
69,0.2449829312354642,0.5337255838654507,1226,2107,256
70,1.3893816380225257,0.4266120201351735,1388,2022,256
71,0.7150461373181479,0.7011426942842843,1164,2005,256
72,2.115940858304372,0.0322509716111472,1298,2058,256
73,3.515679410669676,0.1304065157802678,1209,1920,256
74,0.1974716410314141,0.007641436113714,1313,2015,256
75,0.756774730569483,0.9627525323792796,1254,1988,256
76,0.7485385585025565,0.1072522964960496,1216,1993,256
77,0.3441341746030881,0.0313098667685711,1252,1949,256
78,0.1993060170602362,0.0732905886006064,1398,2086,256
79,1.1328868192975294,0.5708672305020793,1378,1977,256
80,0.2770366040830118,0.4169723739643992,1156,2000,256
81,0.8116172455738668,0.0654327457023691,1327,1969,256
82,0.4969190056060515,0.8969408564916044,1394,2115,256
83,2.6049518536741347,0.1342158586641456,1351,1990,256
84,0.8656005587074671,0.626599111759728,1280,2022,256
85,0.1288212019609119,0.5841236354870091,1229,2081,256
86,2.639362572765012,0.7159011879430411,1258,1965,256
87,1.6552995367058811,0.6294429040359799,1266,2164,256
88,0.0319584912248581,0.881791636899943,1236,2016,256
89,1.0403342794457786,0.2630083027167631,1372,2079,256
90,0.214598290842337,0.3692778893437423,1338,2043,256
91,0.7921384597666894,0.8295900011308616,1291,2026,256
92,1.765120590421615,0.2077796584707467,1376,2111,256
93,1.8470105347606465,0.6788086875830103,1319,1921,256
94,0.0511723361625759,0.1886230061255075,1166,1936,256
95,0.0504430993306477,0.7866889078199364,1295,2084,256
96,3.944360402243008,0.6671567982345561,1163,2112,256
97,0.04293671629613,0.7416049438884437,1382,2153,256
98,0.1634074820799198,0.9795898738768696,1378,1983,256
99,0.8742342433551104,0.7288049856125648,1391,2140,256
100,0.3044992082524441,0.6243413249216246,1269,2047,256
101,0.2571841500359272,0.4247776990564537,1387,2112,256
102,0.2236580190643255,0.2837691669681091,1215,2032,256
103,0.4955500195142893,0.5844756742536018,1407,2121,256
104,0.5737764021330078,0.6130767445917898,1346,2045,256
105,0.2434324043932912,0.6517246604044221,1217,1979,256
106,0.0326302988209454,0.9948171247483985,1283,2026,256
107,0.7828344041350399,0.7914851243142813,1224,1988,256
108,0.0927428241312815,0.7907059914261624,1189,2008,256
109,0.9053845890416828,0.9339013290749562,1396,2084,256
110,0.94008921153571,0.6317378215408866,1395,2068,256
111,0.7175439969246262,0.5288700032199226,1389,1958,256
112,0.3577233694412242,0.1863841957219325,1184,1954,256
113,0.0549473987697013,0.8951718084510862,1281,2142,256
114,0.1727335685255733,0.773653339076347,1296,2014,256
115,0.7806287935094609,0.3476537066088295,1224,2146,256
116,2.1247515651805187,0.2729821401088175,1395,2093,256
117,0.8828085984816495,0.2377927947138228,1197,2047,256
118,0.1638103471188049,0.6930747037106021,1319,2086,256
119,2.074752625111999,0.4906851007152303,1214,2062,256
120,1.183034711378161,0.6529723092449982,1295,2085,256
121,2.6992490802575557,0.7673669123719785,1175,1976,256
122,0.3327647633792712,0.3836179415886328,1171,1968,256
123,0.470963719888226,0.6284741846533967,1271,2027,256
124,0.4059038782062358,0.3078072214091345,1188,2060,256
125,1.548619903514686,0.1888401980744879,1337,2068,256
126,0.8757776677898715,0.9394488254024718,1266,2045,256
127,1.510146318998453,0.2390433602295086,1376,2150,256
128,0.3620317518609995,0.2372146313670775,1396,1999,256
129,0.1898638553264376,0.817164021512253,1389,2003,256
130,3.001519861376789,0.7357067495092005,1311,1978,256
131,1.187134628626887,0.6817399924202927,1203,2163,256
132,0.3151581784359284,0.5183651123658775,1339,2175,256
133,2.0014866855874107,0.3614200174320191,1378,2142,256
134,0.1860710389687536,0.3353321721083443,1166,2169,256
135,1.5337194303656547,0.1777332021503035,1161,2082,256
136,0.3304872508211802,0.5361060689339747,1270,1943,256
137,1.0647951156887998,0.2482421855158157,1305,2085,256
138,0.822461490496578,0.6947393310087439,1357,2120,256
139,1.917766675455916,0.7946583643899945,1269,2021,256
140,0.1517511476566293,0.0602287554653033,1212,2062,256
141,2.935913611636761,0.5716127816223763,1173,2020,256
142,0.0072979358147287,0.9574954443876588,1183,2155,256
143,4.28004931521389,0.363565723168921,1374,1966,256
144,0.863967343345027,0.3037508197786664,1229,1997,256
145,2.150052735575394,0.851454957592711,1400,2120,256
146,0.8704672944926545,0.8438371026009083,1306,2030,256
147,0.3382097264009571,0.6082308270534257,1186,1922,256
148,0.4458442064437036,0.6915652171935338,1213,2129,256
149,0.7703318625288043,0.0156402839263393,1394,1985,256
150,0.14150394989199,0.9786184670418868,1387,2123,256
151,0.0597451543002967,0.2782285234303482,1405,2059,256
152,0.5848913844734522,0.0243047992022984,1200,1945,256
153,1.4413936449449192,0.1721496346216049,1199,1959,256
154,0.0062301680041816,0.270282803563595,1162,2105,256
155,0.7765494336437855,0.400915896308377,1373,1928,256
156,2.203089001834221,0.3054343932689349,1292,1968,256
157,1.6675290576654207,0.6827212574452961,1352,2089,256
158,0.3391276235820959,0.0523489903263311,1365,2019,256
159,8.38209882218352,0.0064769506177178,1404,2126,256
160,0.33818539357287,0.7113069134816572,1392,2028,256
161,0.9094417988653528,0.39519842264956,1395,2069,256
162,0.2747417968522265,0.4391639398564221,1279,2113,256
163,0.0298353336269725,0.9016912788165716,1378,1970,256
164,0.8647365041434502,0.2130862647850804,1353,1994,256
165,0.5751180161927045,0.3844889300908328,1164,2136,256
166,1.637562639007905,0.2191419361227663,1329,2145,256
167,0.455559228509987,0.3143865184909381,1355,1958,256
168,0.2022456200566879,0.1166318528725413,1347,1959,256
169,0.8067453291626807,0.1513248558175889,1327,2130,256
170,0.7085050695821429,0.2104059245834731,1159,2036,256
171,0.1946943947092869,0.6847115900047142,1289,1932,256
172,0.0846085292588922,0.4674247662340672,1182,2092,256
173,0.8034096954413362,0.0728368948815972,1394,2121,256
174,0.0707725467747121,0.362420145795077,1249,1973,256
175,1.1507311615807376,0.017679237204202,1319,1947,256
176,2.0848525424840494,0.9083225231521416,1277,2009,256
177,1.321805834760301,0.3272073485278803,1235,2054,256
178,0.1204977461752244,0.9609049069209268,1302,2002,256
179,0.5160430384625528,0.3604754263520281,1203,2156,256
180,1.4403330857938794,0.2807744422019331,1369,1992,256
181,0.7060887665221312,0.5496200851600433,1396,2027,256
182,0.2469499827814157,0.9698123030206192,1160,1968,256
183,0.5343472396324568,0.6971026959535147,1290,1973,256
184,0.7295341172831112,0.3994985104424227,1215,1923,256
185,0.5345331715753252,0.7470960437833994,1172,1989,256
186,0.8147463794140659,0.4336507162384592,1155,2113,256
187,2.2140970762044745,0.715898446394876,1199,2037,256
188,0.2361434971163805,0.0478633458820885,1365,1929,256
189,0.0078722842412446,0.7450439877774904,1398,2028,256
190,3.075811471771562,0.369300852755568,1195,2090,256
191,0.565244469814321,0.8213198089454801,1267,1973,256
192,0.0066099187835205,0.4386903988171886,1373,2015,256
193,0.5012449360636841,0.4755930326645891,1190,2032,256
194,1.0626155993134994,0.1222589437623863,1254,1926,256
195,1.7015175246940872,0.2737023309184736,1293,2031,256
196,1.13722729602443,0.1076179990207447,1182,2091,256
197,0.5353113232534643,0.8289416031817481,1336,2006,256
198,1.1178694655406696,0.1658302719718547,1305,2134,256
199,0.4552322456267622,0.6119673494400534,1355,2119,256
200,0.0007566010675953,0.4806451993659333,1305,2032,256
201,1.8693552189022915,0.0361940321520065,1325,2005,256
202,1.4153500758893425,0.0555254208185257,1288,2121,256
203,0.0043654757798595,0.5704074726867828,1367,2093,256
204,0.7814732134385098,0.9272814998477162,1220,2074,256
205,0.5353731024836671,0.0189272414886979,1198,1962,256
206,0.7774809686358961,0.681873444351813,1202,2153,256
207,0.8883773291073476,0.5886520411652832,1263,1922,256
208,1.441858788446806,0.3719646174540522,1361,1978,256
209,0.265256138553545,0.6764409330115144,1379,2016,256
210,0.470848024878284,0.2443366766555553,1191,1972,256
211,0.0316504848186814,0.9703845138226525,1327,1952,256
212,0.5928429922600944,0.8646712167459204,1187,1999,256
213,0.7627545887110664,0.6410387136915572,1376,1979,256
214,1.009142656517441,0.8671734780839089,1297,2016,256
215,0.0827240548787875,0.8783275055598855,1238,1976,256
216,2.37016276981624,0.8352878116730424,1356,2098,256
217,0.7764899828347946,0.2128503587112067,1351,2057,256
218,1.8077440657675097,0.6365318165730587,1281,2138,256
219,0.1562831748163816,0.2465763536443668,1242,2167,256
220,0.6644555302267606,0.5247136902957126,1183,2009,256
221,2.2477818239666205,0.5182726509120287,1198,1932,256
222,1.6720503280901378,0.046029804581631,1377,1971,256
223,0.2831163151632871,0.0218594326881175,1190,2061,256
224,0.8238113692912435,0.6722279352080378,1265,2087,256
225,1.7129597270160668,0.3453347749287904,1276,1952,256
226,0.5181633300280805,0.6639027956688696,1181,2062,256
227,2.188210844287502,0.5857967994878676,1271,1933,256
228,2.164859376672277,0.6650284978776286,1298,2053,256
229,0.6940391341527767,0.0803486050725834,1356,1982,256
230,0.4258217878835452,0.8977047761064268,1369,2063,256
231,1.1751384003138683,0.211874520878308,1380,2099,256
232,0.6506275678115852,0.4668609039403604,1195,1970,256
233,0.7869716383506573,0.7780163722433265,1163,1973,256
