workload,R,B,T,F_us,n_retained,b_layer,b_layer_pct_fp16,quantized_bytes,scales_zp_bytes,residual_bytes,gear_buffer_bytes,retained_bytes_total,transfer_bytes,fetch_count,t_transfer_s,t_gpu_s,t_step_s,pen_s,bn_lat_us_per_mb,tier_fraction,compute_dominant
W1_RAG_4K,100%,16bit,GPU-only,2.0,4096,67108864.0,100.0,0.0,0.0,0.0,0.0,2147483648.0,0.0,0,0.0,0.007813741824,0.007813741824,0.0,nan,0.0,True
W1_RAG_4K,100%,16bit,GPU-only,10.55,4096,67108864.0,100.0,0.0,0.0,0.0,0.0,2147483648.0,0.0,0,0.0,0.007813741824,0.007813741824,0.0,nan,0.0,True
W1_RAG_4K,100%,16bit,GPU+host,2.0,4096,67108864.0,100.0,0.0,0.0,0.0,0.0,2147483648.0,858993459.2,256,0.027781633625396825,0.007813741824,0.027781633625396825,0.019967891801396825,32.34207819378565,0.7804843543479915,False
W1_RAG_4K,100%,16bit,GPU+host,10.55,4096,67108864.0,100.0,0.0,0.0,0.0,0.0,2147483648.0,858993459.2,256,0.029970433625396826,0.007813741824,0.029970433625396826,0.022156691801396827,34.890176757933595,0.7932006790921056,False
W1_RAG_4K,100%,2bit,GPU-only,2.0,4096,14286848.0,21.2890625,12189696.0,4063232.0,2097152.0,0.0,457179136.0,0.0,0,0.0,0.006968589568,0.006968589568,0.0,nan,0.0,True
W1_RAG_4K,100%,2bit,GPU-only,10.55,4096,14286848.0,21.2890625,12189696.0,4063232.0,2097152.0,0.0,457179136.0,0.0,0,0.0,0.006968589568,0.006968589568,0.0,nan,0.0,True
W1_RAG_4K,100%,2bit,GPU+host,2.0,4096,14286848.0,21.2890625,12189696.0,4063232.0,2097152.0,0.0,457179136.0,182871654.4,256,0.006317449346031747,0.006968589568,0.006968589568,0.0,34.545809555664775,0.4754953215860084,True
W1_RAG_4K,100%,2bit,GPU+host,10.55,4096,14286848.0,21.2890625,12189696.0,4063232.0,2097152.0,0.0,457179136.0,182871654.4,256,0.008506249346031747,0.006968589568,0.008506249346031747,0.001537659778031747,46.51485969184597,0.549682577846981,False
W1_RAG_4K,60%,16bit,GPU-only,2.0,2458,40271872.0,100.0,0.0,0.0,0.0,0.0,1288699904.0,0.0,0,0.0,0.007384349952,0.007384349952,0.0,nan,0.0,True
W1_RAG_4K,60%,16bit,GPU-only,10.55,2458,40271872.0,100.0,0.0,0.0,0.0,0.0,1288699904.0,0.0,0,0.0,0.007384349952,0.007384349952,0.0,nan,0.0,True
W1_RAG_4K,60%,16bit,GPU+host,2.0,2458,40271872.0,100.0,0.0,0.0,0.0,0.0,1288699904.0,515479961.6,160,0.016684443225396826,0.007384349952,0.016684443225396826,0.009300093273396827,32.36681242392027,0.6931981633821718,False
W1_RAG_4K,60%,16bit,GPU+host,10.55,2458,40271872.0,100.0,0.0,0.0,0.0,0.0,1288699904.0,515479961.6,160,0.018052443225396824,0.007384349952,0.018052443225396824,0.010668093273396824,35.02064982189372,0.7096980778787105,False
W1_RAG_4K,60%,2bit,GPU-only,2.0,2458,9254912.0,22.98108218063466,7157760.0,2385920.0,2097152.0,0.0,296157184.0,0.0,0,0.0,0.006888078592,0.006888078592,0.0,nan,0.0,True
W1_RAG_4K,60%,2bit,GPU-only,10.55,2458,9254912.0,22.98108218063466,7157760.0,2385920.0,2097152.0,0.0,296157184.0,0.0,0,0.0,0.006888078592,0.006888078592,0.0,nan,0.0,True
W1_RAG_4K,60%,2bit,GPU+host,2.0,2458,9254912.0,22.98108218063466,7157760.0,2385920.0,2097152.0,0.0,296157184.0,118462873.60000001,160,0.004080726146031746,0.006888078592,0.006888078592,0.0,34.44730000228313,0.3720301567483274,True
W1_RAG_4K,60%,2bit,GPU+host,10.55,2458,9254912.0,22.98108218063466,7157760.0,2385920.0,2097152.0,0.0,296157184.0,118462873.60000001,160,0.005448726146031747,0.006888078592,0.006888078592,0.0,45.99522179775779,0.441664293286128,True
W1_RAG_4K,20%,16bit,GPU-only,2.0,820,13434880.0,100.0,0.0,0.0,0.0,0.0,429916160.0,0.0,0,0.0,0.00695495808,0.00695495808,0.0,nan,0.0,True
W1_RAG_4K,20%,16bit,GPU-only,10.55,820,13434880.0,100.0,0.0,0.0,0.0,0.0,429916160.0,0.0,0,0.0,0.00695495808,0.00695495808,0.0,nan,0.0,True
W1_RAG_4K,20%,16bit,GPU+host,2.0,820,13434880.0,100.0,0.0,0.0,0.0,0.0,429916160.0,171966464.0,64,0.005587252825396825,0.00695495808,0.00695495808,0.0,32.49036291981223,0.4454759107098629,True
W1_RAG_4K,20%,16bit,GPU+host,10.55,820,13434880.0,100.0,0.0,0.0,0.0,0.0,429916160.0,171966464.0,64,0.006134452825396825,0.00695495808,0.00695495808,0.0,35.672378687723814,0.46865767067237235,True
W1_RAG_4K,20%,2bit,GPU-only,2.0,820,4222976.0,31.432926829268293,2125824.0,708608.0,2097152.0,0.0,135135232.0,0.0,0,0.0,0.006807567616,0.006807567616,0.0,nan,0.0,True
W1_RAG_4K,20%,2bit,GPU-only,10.55,820,4222976.0,31.432926829268293,2125824.0,708608.0,2097152.0,0.0,135135232.0,0.0,0,0.0,0.006807567616,0.006807567616,0.0,nan,0.0,True
